test model relativeRisk haplotypeLength recFrac CrossValidation_fold5_mTDT_01 CrossValidation_fold5_mTDT_05 CrossValidation_fold5_mTDT_001 CrossValidation_fold5_mTDT_005 CrossValidation_fold5_mTDT_minFreq10.00000_01 CrossValidation_fold5_mTDT_minFreq10.00000_05 CrossValidation_fold5_mTDT_minFreq10.00000_001 CrossValidation_fold5_mTDT_minFreq10.00000_005 CrossValidation_fold5_ScoreTDT_01 CrossValidation_fold5_ScoreTDT_05 CrossValidation_fold5_ScoreTDT_001 CrossValidation_fold5_ScoreTDT_005 CrossValidation_fold5_ScoreTDT_minFreq10.00000_01 CrossValidation_fold5_ScoreTDT_minFreq10.00000_05 CrossValidation_fold5_ScoreTDT_minFreq10.00000_001 CrossValidation_fold5_ScoreTDT_minFreq10.00000_005 CrossValidation_fold5_mTDT1T_01 CrossValidation_fold5_mTDT1T_05 CrossValidation_fold5_mTDT1T_001 CrossValidation_fold5_mTDT1T_005 CrossValidation_fold5_mTDT1T_minFreq10.00000_01 CrossValidation_fold5_mTDT1T_minFreq10.00000_05 CrossValidation_fold5_mTDT1T_minFreq10.00000_001 CrossValidation_fold5_mTDT1T_minFreq10.00000_005 CrossValidation_fold5_mTDT2G_01 CrossValidation_fold5_mTDT2G_05 CrossValidation_fold5_mTDT2G_001 CrossValidation_fold5_mTDT2G_005 CrossValidation_fold5_mTDT2G_minFreq10.00000_01 CrossValidation_fold5_mTDT2G_minFreq10.00000_05 CrossValidation_fold5_mTDT2G_minFreq10.00000_001 CrossValidation_fold5_mTDT2G_minFreq10.00000_005 CrossValidation_fold5_mTDT1_01 CrossValidation_fold5_mTDT1_05 CrossValidation_fold5_mTDT1_001 CrossValidation_fold5_mTDT1_005 CrossValidation_fold5_mTDT1_minFreq10.00000_01 CrossValidation_fold5_mTDT1_minFreq10.00000_05 CrossValidation_fold5_mTDT1_minFreq10.00000_001 CrossValidation_fold5_mTDT1_minFreq10.00000_005 
PowerTwoLoci Additive 2 10 0.0000000 0.08 0.14 0.03 0.05 0.46 0.54 0.38 0.43 0.03 0.11 0.03 0.03 0.44 0.53 0.39 0.42 0.11 0.17 0.06 0.09 0.36 0.4 0.24 0.3 0.12 0.2 0.04 0.1 0.34 0.42 0.24 0.3 0.11 0.18 0.07 0.09 0.29 0.35 0.18 0.26
PowerTwoLoci Additive 2 10 0.0000500 0 0.01 0 0 0.23 0.32 0.11 0.19 0 0.01 0 0 0.23 0.33 0.12 0.19 0.01 0.03 0 0.01 0.09 0.15 0.08 0.09 0 0.03 0 0 0.09 0.14 0.05 0.09 0.01 0.03 0 0.01 0.07 0.13 0.06 0.07
PowerTwoLoci Additive 2 10 0.0001000 0 0 0 0 0.07 0.15 0.03 0.07 0 0 0 0 0.07 0.15 0.04 0.07 0.01 0.01 0 0 0.03 0.06 0.01 0.01 0 0 0 0 0.02 0.02 0.01 0.02 0.01 0.01 0 0 0.02 0.04 0.01 0.01
PowerTwoLoci Additive 2 10 0.0001500 0 0 0 0 0.06 0.11 0.03 0.05 0 0 0 0 0.04 0.12 0.02 0.04 0 0 0 0 0.02 0.04 0 0 0 0 0 0 0.02 0.04 0 0.01 0 0 0 0 0.01 0.03 0 0
PowerTwoLoci Additive 4 10 0.0000000 0.22 0.29 0.1 0.19 0.7 0.78 0.58 0.65 0.14 0.26 0.07 0.09 0.7 0.77 0.57 0.65 0.2 0.33 0.11 0.16 0.5 0.58 0.41 0.47 0.28 0.37 0.17 0.25 0.51 0.6 0.45 0.49 0.21 0.32 0.11 0.16 0.43 0.54 0.37 0.41
PowerTwoLoci Additive 4 10 0.0000500 0.01 0.06 0 0.01 0.32 0.46 0.29 0.31 0 0.05 0 0 0.35 0.48 0.28 0.31 0.02 0.07 0 0.02 0.22 0.27 0.17 0.21 0.02 0.1 0 0.02 0.22 0.28 0.17 0.22 0.02 0.07 0 0.02 0.14 0.21 0.12 0.13
PowerTwoLoci Additive 4 10 0.0001000 0.01 0.02 0 0 0.21 0.33 0.08 0.17 0 0.01 0 0 0.22 0.33 0.09 0.15 0.01 0.02 0.01 0.01 0.06 0.11 0.05 0.06 0.01 0.03 0 0.01 0.06 0.11 0.04 0.04 0.01 0.02 0.01 0.01 0.02 0.08 0.02 0.02
PowerTwoLoci Additive 4 10 0.0001500 0 0 0 0 0.09 0.19 0.06 0.08 0 0 0 0 0.1 0.19 0.05 0.09 0 0 0 0 0 0.05 0 0 0 0.01 0 0 0.03 0.1 0.01 0.02 0 0 0 0 0.01 0.06 0 0.01
PowerTwoLoci Additive 6 10 0.0000000 0.33 0.43 0.2 0.29 0.85 0.91 0.74 0.82 0.24 0.39 0.15 0.2 0.82 0.91 0.71 0.8 0.32 0.41 0.2 0.28 0.62 0.65 0.57 0.62 0.41 0.55 0.32 0.39 0.7 0.79 0.65 0.66 0.32 0.44 0.2 0.27 0.62 0.7 0.49 0.61
PowerTwoLoci Additive 6 10 0.0000500 0.05 0.1 0.01 0.04 0.46 0.58 0.36 0.43 0.04 0.07 0 0.01 0.5 0.6 0.37 0.45 0.04 0.14 0.03 0.04 0.27 0.35 0.22 0.24 0.07 0.16 0.03 0.04 0.32 0.38 0.19 0.31 0.04 0.13 0.03 0.04 0.19 0.28 0.16 0.17
PowerTwoLoci Additive 6 10 0.0001000 0.01 0.02 0 0 0.33 0.42 0.19 0.29 0.01 0.02 0 0 0.32 0.44 0.2 0.31 0.01 0.02 0.01 0.01 0.1 0.15 0.08 0.08 0.01 0.03 0 0 0.17 0.24 0.06 0.13 0.01 0.02 0.01 0.01 0.08 0.18 0.06 0.08
PowerTwoLoci Additive 6 10 0.0001500 0 0 0 0 0.12 0.26 0.08 0.11 0 0 0 0 0.14 0.3 0.07 0.13 0 0 0 0 0.03 0.1 0 0.02 0 0.01 0 0 0.07 0.1 0.04 0.06 0 0 0 0 0.03 0.07 0.01 0.02
PowerTwoLoci Additive 8 10 0.0000000 0.45 0.55 0.34 0.42 0.92 0.97 0.88 0.91 0.4 0.54 0.28 0.33 0.92 0.96 0.88 0.92 0.4 0.5 0.29 0.34 0.71 0.8 0.65 0.68 0.53 0.67 0.39 0.49 0.87 0.91 0.79 0.85 0.42 0.5 0.31 0.36 0.68 0.79 0.66 0.67
PowerTwoLoci Additive 8 10 0.0000500 0.08 0.15 0.02 0.05 0.58 0.73 0.44 0.53 0.05 0.12 0 0.01 0.58 0.74 0.45 0.56 0.08 0.16 0.04 0.06 0.33 0.41 0.25 0.29 0.11 0.23 0.03 0.07 0.36 0.48 0.32 0.34 0.07 0.16 0.04 0.06 0.29 0.39 0.2 0.22
PowerTwoLoci Additive 8 10 0.0001000 0.01 0.03 0 0.01 0.38 0.46 0.27 0.35 0.01 0.03 0 0 0.4 0.5 0.29 0.35 0.01 0.05 0 0 0.16 0.29 0.11 0.14 0.02 0.05 0 0.01 0.19 0.28 0.08 0.13 0.01 0.04 0 0 0.15 0.22 0.08 0.12
PowerTwoLoci Additive 8 10 0.0001500 0 0.01 0 0 0.18 0.34 0.12 0.15 0 0 0 0 0.17 0.36 0.12 0.15 0 0.02 0 0 0.03 0.09 0.03 0.03 0.01 0.03 0 0 0.09 0.11 0.07 0.08 0 0.02 0 0 0.06 0.09 0.03 0.05
PowerTwoLoci Additive 10 10 0.0000000 0.54 0.73 0.41 0.47 0.96 0.99 0.92 0.95 0.45 0.6 0.33 0.44 0.95 0.99 0.91 0.95 0.49 0.61 0.34 0.41 0.77 0.83 0.74 0.75 0.67 0.8 0.53 0.61 0.9 0.94 0.86 0.9 0.51 0.69 0.33 0.43 0.8 0.86 0.77 0.79
PowerTwoLoci Additive 10 10 0.0000500 0.1 0.23 0.04 0.07 0.7 0.8 0.56 0.64 0.07 0.18 0.03 0.05 0.7 0.8 0.57 0.63 0.1 0.21 0.04 0.09 0.37 0.5 0.29 0.35 0.19 0.29 0.06 0.15 0.47 0.58 0.39 0.43 0.1 0.21 0.04 0.09 0.33 0.49 0.27 0.31
PowerTwoLoci Additive 10 10 0.0001000 0.02 0.04 0 0.02 0.45 0.6 0.38 0.42 0.02 0.05 0 0.02 0.47 0.6 0.37 0.43 0.01 0.04 0.01 0.01 0.23 0.3 0.11 0.15 0.04 0.1 0.02 0.03 0.25 0.32 0.15 0.2 0.01 0.04 0.01 0.01 0.17 0.24 0.08 0.16
PowerTwoLoci Additive 10 10 0.0001500 0 0 0 0 0.3 0.4 0.17 0.28 0 0 0 0 0.3 0.41 0.17 0.27 0 0.03 0 0 0.06 0.14 0.06 0.06 0.01 0.05 0 0 0.12 0.17 0.08 0.1 0 0.03 0 0 0.05 0.11 0.03 0.04
PowerTwoLoci DomOrDom 2 10 0.0000000 0.12 0.19 0.03 0.07 0.5 0.59 0.45 0.48 0.06 0.14 0.03 0.05 0.49 0.58 0.42 0.46 0.12 0.18 0.06 0.11 0.39 0.44 0.35 0.37 0.13 0.26 0.11 0.12 0.38 0.47 0.32 0.38 0.13 0.17 0.06 0.11 0.3 0.39 0.24 0.28
PowerTwoLoci DomOrDom 2 10 0.0000500 0 0 0 0 0.24 0.33 0.16 0.22 0 0 0 0 0.28 0.36 0.18 0.21 0.01 0.04 0 0 0.11 0.2 0.09 0.1 0 0.03 0 0 0.14 0.21 0.06 0.12 0.01 0.04 0 0 0.07 0.14 0.05 0.07
PowerTwoLoci DomOrDom 2 10 0.0001000 0 0 0 0 0.1 0.19 0.04 0.09 0 0 0 0 0.1 0.2 0.04 0.08 0 0.01 0 0 0.05 0.07 0.02 0.02 0 0 0 0 0.03 0.05 0.01 0.02 0 0.01 0 0 0.02 0.04 0.02 0.02
PowerTwoLoci DomOrDom 2 10 0.0001500 0 0 0 0 0.06 0.14 0.03 0.04 0 0 0 0 0.04 0.1 0.03 0.04 0 0 0 0 0.01 0.02 0 0.01 0 0 0 0 0.01 0.04 0 0.01 0 0 0 0 0.01 0.01 0 0
PowerTwoLoci DomOrDom 4 10 0.0000000 0.24 0.34 0.14 0.22 0.73 0.82 0.64 0.73 0.19 0.32 0.09 0.16 0.74 0.81 0.61 0.66 0.29 0.34 0.13 0.22 0.54 0.6 0.48 0.53 0.33 0.41 0.23 0.3 0.56 0.68 0.51 0.53 0.27 0.33 0.13 0.22 0.48 0.57 0.41 0.46
PowerTwoLoci DomOrDom 4 10 0.0000500 0.01 0.04 0 0 0.42 0.5 0.32 0.39 0 0.02 0 0 0.41 0.52 0.33 0.36 0.04 0.09 0.02 0.03 0.19 0.26 0.19 0.19 0.05 0.1 0.02 0.03 0.26 0.33 0.2 0.23 0.04 0.09 0.02 0.03 0.18 0.25 0.14 0.16
PowerTwoLoci DomOrDom 4 10 0.0001000 0.01 0.01 0 0 0.27 0.38 0.13 0.19 0.01 0.01 0 0 0.24 0.38 0.12 0.19 0.01 0.01 0 0.01 0.09 0.13 0.07 0.08 0 0.01 0 0 0.05 0.11 0.03 0.04 0.01 0.01 0 0.01 0.03 0.09 0.01 0.03
PowerTwoLoci DomOrDom 4 10 0.0001500 0 0 0 0 0.11 0.21 0.07 0.09 0 0 0 0 0.12 0.19 0.07 0.09 0 0 0 0 0 0.02 0 0 0 0.01 0 0 0.04 0.06 0.02 0.04 0 0 0 0 0.02 0.06 0.01 0.01
PowerTwoLoci DomOrDom 6 10 0.0000000 0.3 0.43 0.21 0.26 0.85 0.91 0.72 0.81 0.24 0.4 0.14 0.2 0.84 0.9 0.68 0.79 0.29 0.39 0.22 0.26 0.61 0.66 0.56 0.6 0.43 0.48 0.28 0.38 0.7 0.81 0.55 0.66 0.29 0.38 0.22 0.26 0.58 0.61 0.48 0.5
PowerTwoLoci DomOrDom 6 10 0.0000500 0.02 0.09 0 0 0.49 0.57 0.37 0.42 0 0.05 0 0 0.47 0.58 0.38 0.46 0.04 0.11 0.01 0.02 0.25 0.35 0.19 0.24 0.07 0.14 0.02 0.05 0.24 0.31 0.19 0.22 0.04 0.11 0.01 0.02 0.18 0.31 0.12 0.16
PowerTwoLoci DomOrDom 6 10 0.0001000 0.01 0.03 0 0 0.33 0.42 0.17 0.24 0 0.02 0 0 0.3 0.42 0.19 0.25 0.01 0.02 0.01 0.01 0.07 0.12 0.04 0.05 0.03 0.03 0 0.02 0.1 0.24 0.07 0.09 0.01 0.02 0.01 0.01 0.02 0.08 0.02 0.02
PowerTwoLoci DomOrDom 6 10 0.0001500 0 0 0 0 0.13 0.25 0.08 0.09 0 0 0 0 0.12 0.24 0.08 0.08 0 0 0 0 0.03 0.07 0.01 0.01 0 0.02 0 0 0.06 0.1 0.01 0.05 0 0 0 0 0.03 0.07 0.01 0.01
PowerTwoLoci DomOrDom 8 10 0.0000000 0.36 0.47 0.25 0.35 0.87 0.91 0.79 0.85 0.26 0.4 0.19 0.24 0.88 0.91 0.75 0.84 0.33 0.42 0.25 0.27 0.62 0.66 0.56 0.59 0.45 0.54 0.34 0.43 0.71 0.8 0.62 0.66 0.31 0.42 0.24 0.26 0.61 0.66 0.52 0.56
PowerTwoLoci DomOrDom 8 10 0.0000500 0.03 0.11 0.02 0.02 0.53 0.65 0.4 0.48 0.02 0.06 0 0 0.52 0.63 0.43 0.48 0.07 0.16 0.03 0.05 0.29 0.38 0.24 0.26 0.09 0.21 0.02 0.07 0.34 0.41 0.27 0.3 0.07 0.17 0.03 0.05 0.24 0.32 0.16 0.2
PowerTwoLoci DomOrDom 8 10 0.0001000 0 0.02 0 0 0.33 0.41 0.2 0.29 0 0.02 0 0 0.34 0.43 0.2 0.31 0.01 0.01 0.01 0.01 0.09 0.18 0.08 0.09 0.02 0.05 0 0.02 0.1 0.22 0.04 0.08 0.01 0.01 0.01 0.01 0.08 0.17 0.02 0.08
PowerTwoLoci DomOrDom 8 10 0.0001500 0 0 0 0 0.13 0.26 0.1 0.11 0 0 0 0 0.15 0.28 0.1 0.12 0 0 0 0 0.05 0.09 0.03 0.05 0.01 0.02 0 0 0.06 0.11 0.04 0.05 0 0 0 0 0.04 0.08 0.02 0.03
PowerTwoLoci DomOrDom 10 10 0.0000000 0.38 0.48 0.28 0.36 0.89 0.92 0.82 0.87 0.32 0.44 0.21 0.28 0.88 0.92 0.81 0.85 0.32 0.44 0.27 0.31 0.68 0.74 0.61 0.66 0.48 0.56 0.38 0.45 0.79 0.85 0.7 0.75 0.33 0.47 0.25 0.31 0.67 0.74 0.57 0.64
PowerTwoLoci DomOrDom 10 10 0.0000500 0.06 0.13 0.01 0.04 0.51 0.64 0.43 0.49 0.04 0.1 0 0.02 0.55 0.66 0.43 0.49 0.07 0.15 0.03 0.06 0.26 0.35 0.23 0.25 0.07 0.21 0.03 0.07 0.31 0.39 0.24 0.29 0.07 0.15 0.03 0.06 0.24 0.34 0.17 0.22
PowerTwoLoci DomOrDom 10 10 0.0001000 0.01 0.02 0 0.01 0.35 0.48 0.22 0.34 0.01 0.02 0 0 0.37 0.46 0.24 0.32 0.01 0.03 0.01 0.01 0.11 0.16 0.08 0.08 0.03 0.06 0 0.03 0.18 0.25 0.06 0.13 0.01 0.03 0.01 0.01 0.13 0.17 0.09 0.11
PowerTwoLoci DomOrDom 10 10 0.0001500 0 0 0 0 0.16 0.3 0.1 0.12 0 0 0 0 0.16 0.31 0.09 0.11 0 0.02 0 0 0.05 0.08 0.03 0.05 0.01 0.03 0 0 0.05 0.12 0.05 0.05 0 0.02 0 0 0.03 0.05 0.02 0.03
