test model relativeRisk haplotypeLength recFrac Holdout_mTDT_01 Holdout_mTDT_05 Holdout_mTDT_001 Holdout_mTDT_005 Holdout_mTDT_minFreq10.00000_01 Holdout_mTDT_minFreq10.00000_05 Holdout_mTDT_minFreq10.00000_001 Holdout_mTDT_minFreq10.00000_005 Holdout_ScoreTDT_01 Holdout_ScoreTDT_05 Holdout_ScoreTDT_001 Holdout_ScoreTDT_005 Holdout_ScoreTDT_minFreq10.00000_01 Holdout_ScoreTDT_minFreq10.00000_05 Holdout_ScoreTDT_minFreq10.00000_001 Holdout_ScoreTDT_minFreq10.00000_005 Holdout_mTDT1T_01 Holdout_mTDT1T_05 Holdout_mTDT1T_001 Holdout_mTDT1T_005 Holdout_mTDT1T_minFreq10.00000_01 Holdout_mTDT1T_minFreq10.00000_05 Holdout_mTDT1T_minFreq10.00000_001 Holdout_mTDT1T_minFreq10.00000_005 Holdout_mTDT2G_01 Holdout_mTDT2G_05 Holdout_mTDT2G_001 Holdout_mTDT2G_005 Holdout_mTDT2G_minFreq10.00000_01 Holdout_mTDT2G_minFreq10.00000_05 Holdout_mTDT2G_minFreq10.00000_001 Holdout_mTDT2G_minFreq10.00000_005 Holdout_mTDT1_01 Holdout_mTDT1_05 Holdout_mTDT1_001 Holdout_mTDT1_005 Holdout_mTDT1_minFreq10.00000_01 Holdout_mTDT1_minFreq10.00000_05 Holdout_mTDT1_minFreq10.00000_001 Holdout_mTDT1_minFreq10.00000_005 
PowerTwoLoci Additive 2 1 0.0000000 0.12 0.19 0.05 0.11 0.12 0.19 0.05 0.11 0.12 0.19 0.05 0.11 0.12 0.19 0.05 0.11 0.12 0.19 0.05 0.11 0.12 0.19 0.05 0.11 0.12 0.19 0.05 0.11 0.12 0.19 0.05 0.11 0.12 0.19 0.05 0.11 0.12 0.19 0.05 0.11
PowerTwoLoci Additive 2 1 0.0000500 0.06 0.14 0.01 0.03 0.05 0.13 0.01 0.02 0.06 0.14 0.01 0.03 0.05 0.13 0.01 0.02 0.06 0.14 0.01 0.03 0.05 0.13 0.01 0.02 0.06 0.14 0.01 0.03 0.05 0.13 0.01 0.02 0.06 0.14 0.01 0.03 0.05 0.13 0.01 0.02
PowerTwoLoci Additive 2 1 0.0001000 0.02 0.09 0.01 0.02 0.02 0.09 0.01 0.02 0.02 0.09 0.01 0.02 0.02 0.09 0.01 0.02 0.02 0.09 0.01 0.02 0.02 0.09 0.01 0.02 0.02 0.09 0.01 0.02 0.02 0.09 0.01 0.02 0.02 0.09 0.01 0.02 0.02 0.09 0.01 0.02
PowerTwoLoci Additive 2 1 0.0001500 0.05 0.11 0 0.01 0.05 0.11 0 0.01 0.05 0.11 0 0.01 0.05 0.11 0 0.01 0.05 0.1 0 0.01 0.05 0.1 0 0.01 0.05 0.11 0 0.01 0.05 0.1 0 0.01 0.05 0.1 0 0.01 0.05 0.1 0 0.01
PowerTwoLoci Additive 2 1 0.0002000 0.01 0.04 0 0.01 0 0.03 0 0 0.01 0.04 0 0.01 0 0.03 0 0 0.01 0.04 0 0.01 0 0.03 0 0 0.01 0.04 0 0.01 0 0.03 0 0 0.01 0.04 0 0.01 0 0.03 0 0
PowerTwoLoci Additive 2 1 0.0002500 0.01 0.04 0 0 0.01 0.04 0 0 0.01 0.04 0 0 0.01 0.04 0 0 0.01 0.04 0 0 0.01 0.04 0 0 0.01 0.04 0 0 0.01 0.04 0 0 0.01 0.04 0 0 0.01 0.04 0 0
PowerTwoLoci Additive 2 1 0.0003000 0.03 0.04 0 0.02 0.03 0.04 0 0.02 0.03 0.04 0 0.02 0.03 0.04 0 0.02 0.03 0.04 0 0.02 0.03 0.04 0 0.02 0.03 0.04 0 0.02 0.03 0.04 0 0.02 0.03 0.04 0 0.02 0.03 0.04 0 0.02
PowerTwoLoci Additive 2 1 0.0003500 0 0.03 0 0 0 0.03 0 0 0 0.03 0 0 0 0.03 0 0 0 0.03 0 0 0 0.03 0 0 0 0.03 0 0 0 0.03 0 0 0 0.03 0 0 0 0.03 0 0
PowerTwoLoci Additive 2 1 0.0004000 0.03 0.09 0 0.02 0.02 0.08 0 0.02 0.03 0.09 0 0.02 0.02 0.08 0 0.02 0.02 0.08 0 0.02 0.02 0.08 0 0.02 0.03 0.09 0 0.02 0.02 0.08 0 0.02 0.02 0.08 0 0.02 0.02 0.08 0 0.02
PowerTwoLoci Additive 2 1 0.0004500 0 0.04 0 0 0 0.02 0 0 0 0.04 0 0 0 0.02 0 0 0 0.04 0 0 0 0.02 0 0 0 0.04 0 0 0 0.02 0 0 0 0.04 0 0 0 0.02 0 0
