test model relativeRisk haplotypeLength recFrac Holdout_mTDT2G_useDistances_01 Holdout_mTDT2G_useDistances_05 Holdout_mTDT2G_useDistances_001 Holdout_mTDT2G_useDistances_005 Holdout_ScoreTDT_01 Holdout_ScoreTDT_05 Holdout_ScoreTDT_001 Holdout_ScoreTDT_005 Holdout_mTDT_01 Holdout_mTDT_05 Holdout_mTDT_001 Holdout_mTDT_005 
PowerTwoLoci Additive 1.2 1 0.0000000 0.2 0.32 0.14 0.18 0.2 0.32 0.14 0.18 0.2 0.32 0.14 0.18
PowerTwoLoci Additive 1.2 1 0.0000500 0.1 0.15 0.05 0.08 0.1 0.16 0.05 0.08 0.1 0.16 0.05 0.08
PowerTwoLoci Additive 1.2 1 0.0001000 0.01 0.04 0 0 0.01 0.04 0 0 0.01 0.04 0 0
PowerTwoLoci Additive 1.2 1 0.0001500 0.01 0.07 0.01 0.01 0.01 0.07 0.01 0.01 0.01 0.07 0.01 0.01
PowerTwoLoci Additive 1.2 1 0.0002000 0.07 0.1 0.06 0.07 0.07 0.1 0.06 0.07 0.07 0.1 0.06 0.07
PowerTwoLoci Additive 1.6 1 0.0000000 0.21 0.26 0.16 0.2 0.21 0.26 0.16 0.2 0.21 0.26 0.16 0.2
PowerTwoLoci Additive 1.6 1 0.0000500 0.11 0.16 0.05 0.07 0.11 0.16 0.05 0.07 0.11 0.16 0.05 0.07
PowerTwoLoci Additive 1.6 1 0.0001000 0.05 0.1 0 0.01 0.05 0.1 0 0.01 0.05 0.1 0 0.01
PowerTwoLoci Additive 1.6 1 0.0001500 0.02 0.12 0.01 0.02 0.02 0.12 0.01 0.02 0.02 0.12 0.01 0.02
PowerTwoLoci Additive 1.6 1 0.0002000 0.08 0.16 0.03 0.05 0.08 0.16 0.03 0.05 0.08 0.16 0.03 0.05
PowerTwoLoci Additive 2.0 1 0.0000000 0.26 0.34 0.22 0.23 0.26 0.34 0.22 0.23 0.26 0.34 0.22 0.23
PowerTwoLoci Additive 2.0 1 0.0000500 0.09 0.19 0.06 0.08 0.09 0.19 0.06 0.08 0.09 0.19 0.06 0.08
PowerTwoLoci Additive 2.0 1 0.0001000 0.01 0.07 0 0 0.01 0.07 0 0 0.01 0.07 0 0
PowerTwoLoci Additive 2.0 1 0.0001500 0.03 0.07 0.01 0.02 0.03 0.07 0.01 0.02 0.03 0.07 0.01 0.02
PowerTwoLoci Additive 2.0 1 0.0002000 0.05 0.14 0.03 0.05 0.05 0.14 0.03 0.05 0.05 0.14 0.03 0.05
PowerTwoLoci Additive 2.4 1 0.0000000 0.24 0.36 0.21 0.24 0.24 0.36 0.21 0.24 0.24 0.36 0.21 0.24
PowerTwoLoci Additive 2.4 1 0.0000500 0.15 0.21 0.09 0.11 0.15 0.21 0.09 0.11 0.15 0.21 0.09 0.11
PowerTwoLoci Additive 2.4 1 0.0001000 0.01 0.07 0.01 0.01 0.01 0.07 0.01 0.01 0.01 0.07 0.01 0.01
PowerTwoLoci Additive 2.4 1 0.0001500 0.03 0.11 0.02 0.03 0.03 0.11 0.02 0.03 0.03 0.11 0.02 0.03
PowerTwoLoci Additive 2.4 1 0.0002000 0.07 0.12 0.04 0.06 0.07 0.12 0.04 0.06 0.07 0.12 0.04 0.06
PowerTwoLoci Additive 2.6 1 0.0000000 0.26 0.33 0.2 0.25 0.26 0.33 0.2 0.25 0.26 0.33 0.2 0.25
PowerTwoLoci Additive 2.6 1 0.0000500 0.17 0.25 0.1 0.14 0.18 0.26 0.1 0.14 0.18 0.26 0.1 0.14
PowerTwoLoci Additive 2.6 1 0.0001000 0.03 0.07 0 0 0.03 0.07 0 0 0.03 0.07 0 0
PowerTwoLoci Additive 2.6 1 0.0001500 0.04 0.13 0 0.03 0.04 0.13 0 0.03 0.04 0.13 0 0.03
PowerTwoLoci Additive 2.6 1 0.0002000 0.08 0.13 0.03 0.08 0.08 0.13 0.03 0.08 0.08 0.13 0.03 0.08
PowerTwoLoci DomOrDom 1.2 1 0.0000000 0.19 0.25 0.13 0.14 0.19 0.25 0.13 0.14 0.19 0.25 0.13 0.14
PowerTwoLoci DomOrDom 1.2 1 0.0000500 0.08 0.15 0.03 0.05 0.08 0.15 0.03 0.05 0.08 0.15 0.03 0.05
