test model relativeRisk haplotypeLength recFrac Training_mTDT2G_cv2_useDistances_01 Training_mTDT2G_cv2_useDistances_05 Training_mTDT2G_cv2_useDistances_001 Training_mTDT2G_cv2_useDistances_005 Training_ScoreTDT_01 Training_ScoreTDT_05 Training_ScoreTDT_001 Training_ScoreTDT_005 Training_mTDT_01 Training_mTDT_05 Training_mTDT_001 Training_mTDT_005 Training_mTDT2G_cv5_useDistances_01 Training_mTDT2G_cv5_useDistances_05 Training_mTDT2G_cv5_useDistances_001 Training_mTDT2G_cv5_useDistances_005 
PowerTwoLoci Additive 1.2 1 0.0000000 0.22 0.32 0.18 0.21 0.26 0.39 0.21 0.22 0.26 0.39 0.21 0.22 0.21 0.29 0.16 0.19
PowerTwoLoci Additive 1.2 1 0.0000500 0.12 0.2 0.07 0.11 0.14 0.26 0.08 0.11 0.14 0.26 0.08 0.11 0.1 0.14 0.03 0.07
PowerTwoLoci Additive 1.2 1 0.0001000 0.03 0.08 0.01 0.03 0.05 0.09 0.01 0.04 0.05 0.09 0.01 0.04 0.02 0.05 0 0
PowerTwoLoci Additive 1.2 1 0.0001500 0.02 0.1 0.01 0.01 0.04 0.13 0.01 0.02 0.04 0.13 0.01 0.02 0.02 0.06 0.02 0.02
PowerTwoLoci Additive 1.2 1 0.0002000 0.06 0.12 0.05 0.06 0.06 0.14 0.05 0.06 0.06 0.14 0.05 0.06 0.05 0.13 0.05 0.05
PowerTwoLoci Additive 1.6 1 0.0000000 0.28 0.33 0.21 0.23 0.29 0.41 0.22 0.25 0.29 0.41 0.22 0.25 0.23 0.27 0.17 0.2
PowerTwoLoci Additive 1.6 1 0.0000500 0.12 0.21 0.07 0.11 0.18 0.25 0.09 0.14 0.18 0.25 0.09 0.14 0.11 0.16 0.06 0.08
PowerTwoLoci Additive 1.6 1 0.0001000 0.04 0.09 0.01 0.03 0.04 0.08 0.01 0.04 0.04 0.08 0.01 0.04 0.03 0.11 0 0
PowerTwoLoci Additive 1.6 1 0.0001500 0.05 0.07 0 0.03 0.05 0.14 0 0.04 0.05 0.14 0 0.04 0.01 0.09 0 0.01
PowerTwoLoci Additive 1.6 1 0.0002000 0.07 0.15 0.04 0.06 0.08 0.14 0.05 0.06 0.08 0.14 0.05 0.06 0.05 0.11 0.03 0.05
