MAFSample2 mixProp haplotypeLength Training_mTDT2G_cv5_01 Training_mTDT2G_cv5_05 Training_mTDT2G_cv5_001 Training_mTDT2G_cv5_005 Training_mTDT2G_cv2_01 Training_mTDT2G_cv2_05 Training_mTDT2G_cv2_001 Training_mTDT2G_cv2_005 Training_mTDT2G_cv2_sumOfHalves_01 Training_mTDT2G_cv2_sumOfHalves_05 Training_mTDT2G_cv2_sumOfHalves_001 Training_mTDT2G_cv2_sumOfHalves_005 Training_mTDT1_cv5_01 Training_mTDT1_cv5_05 Training_mTDT1_cv5_001 Training_mTDT1_cv5_005 Training_mTDT1T_cv5_01 Training_mTDT1T_cv5_05 Training_mTDT1T_cv5_001 Training_mTDT1T_cv5_005 Training_mTDT1U_cv5_01 Training_mTDT1U_cv5_05 Training_mTDT1U_cv5_001 Training_mTDT1U_cv5_005 Training_mTDT1_cv2_01 Training_mTDT1_cv2_05 Training_mTDT1_cv2_001 Training_mTDT1_cv2_005 Training_mTDT1T_cv2_01 Training_mTDT1T_cv2_05 Training_mTDT1T_cv2_001 Training_mTDT1T_cv2_005 Training_mTDT1U_cv2_01 Training_mTDT1U_cv2_05 Training_mTDT1U_cv2_001 Training_mTDT1U_cv2_005 Training_mTDT_01 Training_mTDT_05 Training_mTDT_001 Training_mTDT_005 Training_mTDT_minFreq10.00000_01 Training_mTDT_minFreq10.00000_05 Training_mTDT_minFreq10.00000_001 Training_mTDT_minFreq10.00000_005 
0.1 0.5 1 0.008 0.037 0 0.002 0.014 0.048 0.001 0.006 0.01 0.044 0 0.002 0.008 0.038 0 0.002 0.008 0.038 0 0.002 0.008 0.038 0 0.002 0.014 0.047 0.001 0.006 0.014 0.047 0.001 0.006 0.014 0.047 0.001 0.006 0.01 0.052 0.002 0.006 0.01 0.052 0.002 0.006
0.3 0.5 1 0.007 0.037 0 0.002 0.01 0.045 0 0.003 0.009 0.044 0 0.001 0.007 0.04 0 0.003 0.007 0.04 0 0.003 0.007 0.04 0 0.003 0.01 0.042 0 0.003 0.01 0.042 0 0.003 0.01 0.042 0 0.003 0.009 0.052 0.001 0.006 0.009 0.052 0.001 0.006
0.5 0.5 1 0.004 0.037 0 0.003 0.007 0.044 0.002 0.004 0.01 0.04 0.001 0.003 0.004 0.039 0 0.003 0.004 0.039 0 0.003 0.004 0.039 0 0.003 0.007 0.043 0.002 0.004 0.007 0.043 0.002 0.004 0.007 0.043 0.002 0.004 0.011 0.053 0.001 0.006 0.011 0.053 0.001 0.006
0.1 0.75 1 0.008 0.048 0.001 0.004 0.017 0.05 0.003 0.007 0.015 0.045 0.001 0.006 0.008 0.046 0.001 0.004 0.008 0.046 0.001 0.004 0.008 0.046 0.001 0.004 0.016 0.047 0.002 0.006 0.016 0.047 0.002 0.006 0.016 0.047 0.002 0.006 0.011 0.058 0.001 0.007 0.011 0.058 0.001 0.007
0.3 0.75 1 0.009 0.05 0.001 0.006 0.02 0.052 0.002 0.007 0.014 0.048 0.001 0.006 0.009 0.049 0.001 0.006 0.009 0.049 0.001 0.006 0.009 0.049 0.001 0.006 0.018 0.047 0.001 0.006 0.018 0.047 0.001 0.006 0.018 0.047 0.001 0.006 0.012 0.062 0.001 0.008 0.012 0.062 0.001 0.008
0.5 0.75 1 0.011 0.053 0.001 0.005 0.015 0.054 0.004 0.009 0.015 0.051 0.001 0.007 0.013 0.053 0.001 0.005 0.013 0.053 0.001 0.005 0.013 0.053 0.001 0.005 0.015 0.052 0.004 0.009 0.015 0.052 0.004 0.009 0.015 0.052 0.004 0.009 0.015 0.056 0.002 0.011 0.015 0.056 0.002 0.011
0.1 0.833 1 0.009 0.043 0 0.005 0.017 0.058 0 0.007 0.012 0.049 0 0.005 0.009 0.043 0 0.005 0.009 0.043 0 0.005 0.009 0.043 0 0.005 0.017 0.055 0 0.007 0.017 0.055 0 0.007 0.017 0.055 0 0.007 0.013 0.054 0.001 0.007 0.013 0.054 0.001 0.007
0.3 0.833 1 0.009 0.046 0 0.005 0.017 0.058 0.001 0.007 0.012 0.049 0.001 0.005 0.009 0.045 0 0.005 0.009 0.045 0 0.005 0.009 0.045 0 0.005 0.017 0.058 0.001 0.007 0.017 0.058 0.001 0.007 0.017 0.058 0.001 0.007 0.015 0.057 0.002 0.006 0.015 0.057 0.002 0.006
0.5 0.833 1 0.01 0.046 0.002 0.005 0.014 0.055 0.001 0.006 0.009 0.047 0 0.005 0.01 0.047 0.002 0.005 0.01 0.047 0.002 0.005 0.01 0.047 0.002 0.005 0.013 0.052 0 0.005 0.013 0.052 0 0.005 0.013 0.052 0 0.005 0.012 0.05 0.002 0.006 0.012 0.05 0.002 0.006
0.1 0.5 2 0.013 0.052 0.002 0.007 0.009 0.049 0.002 0.003 0.006 0.052 0.001 0.003 0.01 0.054 0.001 0.005 0.004 0.045 0.001 0.002 0.009 0.049 0 0.007 0.008 0.047 0 0.001 0.012 0.057 0 0.009 0.007 0.051 0.002 0.005 0.008 0.056 0.001 0.007 0.008 0.056 0.001 0.007
