MAFSample2 mixProp haplotypeLength Training_mTDT_01 Training_mTDT_05 Training_mTDT_001 Training_mTDT_005 Training_mTDT_minFreq10.00000_01 Training_mTDT_minFreq10.00000_05 Training_mTDT_minFreq10.00000_001 Training_mTDT_minFreq10.00000_005 Training_mTDT2G_cv5_01 Training_mTDT2G_cv5_05 Training_mTDT2G_cv5_001 Training_mTDT2G_cv5_005 Training_mTDT2G_cv5_minFreq10.00000_01 Training_mTDT2G_cv5_minFreq10.00000_05 Training_mTDT2G_cv5_minFreq10.00000_001 Training_mTDT2G_cv5_minFreq10.00000_005 Training_mTDT1_cv5_01 Training_mTDT1_cv5_05 Training_mTDT1_cv5_001 Training_mTDT1_cv5_005 Training_mTDT1_cv5_minFreq10.00000_01 Training_mTDT1_cv5_minFreq10.00000_05 Training_mTDT1_cv5_minFreq10.00000_001 Training_mTDT1_cv5_minFreq10.00000_005 Training_mTDT1T_cv5_01 Training_mTDT1T_cv5_05 Training_mTDT1T_cv5_001 Training_mTDT1T_cv5_005 Training_mTDT1T_cv5_minFreq10.00000_01 Training_mTDT1T_cv5_minFreq10.00000_05 Training_mTDT1T_cv5_minFreq10.00000_001 Training_mTDT1T_cv5_minFreq10.00000_005 Training_mTDT1U_cv5_01 Training_mTDT1U_cv5_05 Training_mTDT1U_cv5_001 Training_mTDT1U_cv5_005 Training_mTDT1U_cv5_minFreq10.00000_01 Training_mTDT1U_cv5_minFreq10.00000_05 Training_mTDT1U_cv5_minFreq10.00000_001 Training_mTDT1U_cv5_minFreq10.00000_005 Training_mTDT2G_cv2_01 Training_mTDT2G_cv2_05 Training_mTDT2G_cv2_001 Training_mTDT2G_cv2_005 Training_mTDT2G_cv2_minFreq10.00000_01 Training_mTDT2G_cv2_minFreq10.00000_05 Training_mTDT2G_cv2_minFreq10.00000_001 Training_mTDT2G_cv2_minFreq10.00000_005 Training_mTDT1_cv2_01 Training_mTDT1_cv2_05 Training_mTDT1_cv2_001 Training_mTDT1_cv2_005 Training_mTDT1_cv2_minFreq10.00000_01 Training_mTDT1_cv2_minFreq10.00000_05 Training_mTDT1_cv2_minFreq10.00000_001 Training_mTDT1_cv2_minFreq10.00000_005 Training_mTDT1T_cv2_01 Training_mTDT1T_cv2_05 Training_mTDT1T_cv2_001 Training_mTDT1T_cv2_005 Training_mTDT1T_cv2_minFreq10.00000_01 Training_mTDT1T_cv2_minFreq10.00000_05 Training_mTDT1T_cv2_minFreq10.00000_001 Training_mTDT1T_cv2_minFreq10.00000_005 Training_mTDT1U_cv2_01 Training_mTDT1U_cv2_05 Training_mTDT1U_cv2_001 Training_mTDT1U_cv2_005 Training_mTDT1U_cv2_minFreq10.00000_01 Training_mTDT1U_cv2_minFreq10.00000_05 Training_mTDT1U_cv2_minFreq10.00000_001 Training_mTDT1U_cv2_minFreq10.00000_005 
0.1 0.5 1 0.01 0.052 0.002 0.006 0.01 0.052 0.002 0.006 0.008 0.032 0 0.002 0.01 0.11 0 0 0 0.09 0 0 0 0.08 0 0 0.01 0.13 0 0 0.01 0.12 0 0 0.01 0.13 0 0 0.01 0.12 0 0 0.014 0.047 0.001 0.006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.3 0.5 1 0.009 0.052 0.001 0.006 0.009 0.052 0.001 0.006 0.007 0.036 0 0.002 0.024 0.124 0.002 0.014 0.011 0.052 0.003 0.007 0.011 0.049 0.003 0.007 0.027 0.138 0.003 0.015 0.027 0.127 0.002 0.014 0.027 0.138 0.003 0.015 0.027 0.127 0.002 0.014 0.01 0.042 0 0.003 0.013 0.085 0.001 0.006 0.006 0.053 0.001 0.003 0.005 0.044 0.001 0.002 0.015 0.101 0.001 0.008 0.013 0.085 0.001 0.006 0.015 0.101 0.001 0.008 0.013 0.085 0.001 0.006
0.5 0.5 1 0.011 0.053 0.001 0.006 0.011 0.053 0.001 0.006 0.004 0.036 0 0.003 0.025 0.13 0.001 0.014 0.01 0.057 0.001 0.006 0.01 0.057 0.001 0.006 0.028 0.133 0.001 0.015 0.028 0.133 0.001 0.015 0.028 0.133 0.001 0.015 0.028 0.133 0.001 0.015 0.007 0.044 0.002 0.004 0.016 0.098 0.001 0.009 0.008 0.054 0 0.004 0.008 0.054 0 0.004 0.016 0.099 0.001 0.009 0.016 0.098 0.001 0.009 0.016 0.099 0.001 0.009 0.016 0.098 0.001 0.009
0.1 0.75 1 0.011 0.058 0.001 0.007 0.011 0.058 0.001 0.007 0.008 0.045 0.001 0.004 0.035 0.151 0.002 0.015 0.012 0.059 0.002 0.008 0.012 0.059 0.002 0.008 0.037 0.151 0.003 0.015 0.037 0.151 0.003 0.015 0.037 0.151 0.003 0.015 0.037 0.151 0.003 0.015 0.017 0.049 0.003 0.007 0.021 0.092 0.001 0.015 0.01 0.054 0.001 0.007 0.01 0.053 0.001 0.007 0.021 0.097 0.001 0.015 0.021 0.092 0.001 0.015 0.021 0.097 0.001 0.015 0.021 0.092 0.001 0.015
0.3 0.75 1 0.012 0.062 0.001 0.008 0.012 0.062 0.001 0.008 0.009 0.051 0.001 0.006 0.031 0.144 0.003 0.014 0.013 0.063 0.002 0.009 0.013 0.062 0.002 0.009 0.033 0.15 0.004 0.014 0.033 0.15 0.004 0.014 0.033 0.15 0.004 0.014 0.033 0.15 0.004 0.014 0.018 0.048 0.001 0.006 0.019 0.098 0.001 0.014 0.011 0.057 0.001 0.008 0.011 0.056 0.001 0.008 0.019 0.104 0.001 0.014 0.019 0.098 0.001 0.014 0.019 0.104 0.001 0.014 0.019 0.098 0.001 0.014
0.5 0.75 1 0.015 0.056 0.002 0.011 0.015 0.056 0.002 0.011 0.011 0.052 0.001 0.005 0.035 0.13 0.005 0.021 0.015 0.058 0.002 0.011 0.015 0.058 0.002 0.011 0.035 0.135 0.006 0.021 0.035 0.135 0.006 0.021 0.035 0.135 0.006 0.021 0.035 0.135 0.006 0.021 0.016 0.053 0.004 0.009 0.024 0.095 0.003 0.016 0.017 0.055 0.003 0.012 0.017 0.055 0.003 0.012 0.024 0.095 0.003 0.016 0.024 0.095 0.003 0.016 0.024 0.095 0.003 0.016 0.024 0.095 0.003 0.016
0.1 0.833 1 0.013 0.054 0.001 0.007 0.013 0.054 0.001 0.007 0.009 0.043 0 0.005 0.033 0.133 0.002 0.016 0.016 0.058 0.002 0.009 0.016 0.059 0.002 0.009 0.034 0.137 0.002 0.017 0.034 0.137 0.002 0.017 0.034 0.137 0.002 0.017 0.034 0.137 0.002 0.017 0.017 0.056 0 0.007 0.022 0.091 0.001 0.014 0.012 0.053 0.001 0.008 0.011 0.049 0.001 0.008 0.023 0.099 0.001 0.014 0.022 0.091 0.001 0.014 0.023 0.099 0.001 0.014 0.022 0.091 0.001 0.014
0.3 0.833 1 0.015 0.057 0.002 0.006 0.015 0.057 0.002 0.006 0.009 0.044 0 0.005 0.034 0.142 0.003 0.014 0.019 0.064 0.003 0.008 0.019 0.065 0.003 0.008 0.037 0.141 0.003 0.014 0.037 0.139 0.003 0.014 0.037 0.141 0.003 0.014 0.037 0.139 0.003 0.014 0.017 0.058 0.001 0.007 0.022 0.093 0.002 0.013 0.014 0.058 0.002 0.007 0.013 0.053 0.002 0.007 0.023 0.103 0.002 0.013 0.022 0.093 0.002 0.013 0.023 0.103 0.002 0.013 0.022 0.093 0.002 0.013
0.5 0.833 1 0.012 0.05 0.002 0.006 0.012 0.05 0.002 0.006 0.01 0.044 0.002 0.005 0.034 0.136 0.004 0.017 0.015 0.056 0.003 0.008 0.015 0.056 0.003 0.008 0.034 0.144 0.004 0.017 0.034 0.144 0.004 0.017 0.034 0.144 0.004 0.017 0.034 0.144 0.004 0.017 0.013 0.053 0 0.005 0.018 0.093 0.002 0.009 0.011 0.046 0.002 0.006 0.011 0.046 0.002 0.006 0.017 0.091 0.002 0.009 0.017 0.091 0.002 0.009 0.017 0.091 0.002 0.009 0.017 0.091 0.002 0.009
0.1 0.5 2 0.008 0.056 0.001 0.007 0.008 0.056 0.001 0.007 0.009 0.041 0 0.005 0.037 0.143 0.008 0.024 0.024 0.124 0 0.011 0.02 0.109 0 0.009 0.049 0.151 0.003 0.027 0.047 0.147 0.003 0.025 0.029 0.151 0.005 0.018 0.029 0.145 0.006 0.018 0.008 0.061 0 0.004 0.019 0.106 0 0.008 0.013 0.057 0 0.008 0.014 0.053 0 0.009 0.023 0.093 0 0.012 0.019 0.091 0 0.011 0.014 0.103 0.002 0.007 0.014 0.098 0.002 0.006
0.3 0.5 2 0.006 0.054 0.001 0.005 0.006 0.055 0.001 0.005 0.009 0.042 0 0.006 0.04 0.139 0.007 0.023 0.025 0.113 0 0.009 0.023 0.101 0.001 0.009 0.047 0.161 0.003 0.028 0.044 0.159 0.003 0.024 0.031 0.153 0.005 0.016 0.031 0.151 0.005 0.017 0.007 0.054 0 0.004 0.023 0.111 0.001 0.01 0.015 0.06 0.001 0.009 0.015 0.055 0.001 0.008 0.017 0.093 0 0.011 0.016 0.091 0.001 0.011 0.016 0.101 0.002 0.008 0.017 0.095 0.002 0.007
0.5 0.5 2 0.013 0.039 0 0.006 0.013 0.039 0 0.006 0.01 0.059 0 0.004 0.052 0.144 0.01 0.031 0.024 0.116 0.005 0.01 0.024 0.113 0.005 0.009 0.045 0.148 0.002 0.02 0.044 0.145 0.002 0.02 0.041 0.162 0.006 0.021 0.039 0.155 0.006 0.02 0.008 0.049 0.002 0.006 0.019 0.092 0.004 0.011 0.016 0.061 0.002 0.008 0.016 0.054 0.002 0.009 0.025 0.089 0.002 0.013 0.026 0.089 0.002 0.014 0.02 0.095 0.001 0.006 0.021 0.091 0.001 0.006
0.1 0.75 2 0.011 0.055 0.004 0.008 0.011 0.055 0.004 0.008 0.013 0.059 0.002 0.007 0.049 0.155 0.009 0.032 0.026 0.114 0.005 0.018 0.027 0.111 0.005 0.017 0.039 0.153 0.004 0.025 0.041 0.153 0.004 0.025 0.039 0.16 0.005 0.025 0.037 0.161 0.005 0.023 0.015 0.054 0.003 0.007 0.024 0.099 0.003 0.014 0.015 0.063 0.002 0.011 0.014 0.057 0.002 0.011 0.025 0.094 0.002 0.013 0.023 0.096 0.001 0.013 0.024 0.102 0.003 0.012 0.022 0.102 0.003 0.012
0.3 0.75 2 0.011 0.059 0.004 0.009 0.011 0.059 0.004 0.009 0.015 0.057 0.002 0.006 0.048 0.153 0.012 0.034 0.025 0.11 0.005 0.016 0.026 0.107 0.005 0.016 0.038 0.14 0.005 0.025 0.041 0.143 0.005 0.025 0.04 0.163 0.008 0.025 0.038 0.159 0.008 0.023 0.015 0.059 0.003 0.005 0.024 0.108 0.003 0.017 0.015 0.071 0.001 0.01 0.014 0.065 0.001 0.009 0.021 0.097 0 0.011 0.019 0.095 0 0.01 0.024 0.107 0.004 0.014 0.022 0.101 0.004 0.013
0.5 0.75 2 0.017 0.051 0.001 0.009 0.017 0.052 0.001 0.01 0.009 0.059 0.001 0.009 0.06 0.157 0.01 0.039 0.025 0.114 0.003 0.018 0.025 0.117 0.003 0.018 0.052 0.175 0.007 0.031 0.054 0.174 0.007 0.031 0.05 0.154 0.006 0.027 0.048 0.148 0.005 0.026 0.014 0.051 0.002 0.008 0.026 0.096 0.002 0.018 0.012 0.06 0.001 0.011 0.012 0.055 0.001 0.011 0.025 0.102 0.002 0.014 0.026 0.102 0.002 0.015 0.02 0.101 0.002 0.016 0.021 0.097 0.002 0.017
0.1 0.833 2 0.015 0.057 0.001 0.007 0.015 0.056 0.002 0.007 0.012 0.06 0.001 0.004 0.049 0.164 0.007 0.024 0.033 0.125 0.005 0.018 0.032 0.122 0.005 0.018 0.041 0.172 0.005 0.022 0.041 0.174 0.005 0.022 0.038 0.154 0.005 0.023 0.036 0.15 0.005 0.022 0.012 0.057 0.001 0.008 0.024 0.112 0.003 0.008 0.015 0.071 0.003 0.005 0.015 0.066 0.003 0.004 0.02 0.113 0.002 0.006 0.02 0.109 0.003 0.007 0.018 0.102 0.002 0.007 0.019 0.097 0.002 0.007
0.3 0.833 2 0.014 0.057 0.001 0.007 0.014 0.057 0.002 0.007 0.012 0.058 0.001 0.006 0.046 0.167 0.008 0.018 0.035 0.127 0.004 0.018 0.033 0.125 0.004 0.017 0.037 0.164 0.006 0.02 0.037 0.169 0.006 0.02 0.046 0.168 0.004 0.025 0.044 0.165 0.004 0.024 0.012 0.065 0 0.009 0.024 0.107 0.002 0.007 0.015 0.066 0.002 0.006 0.014 0.063 0.002 0.005 0.022 0.104 0.002 0.007 0.021 0.097 0.002 0.007 0.021 0.108 0.002 0.008 0.02 0.104 0.002 0.007
0.5 0.833 2 0.012 0.052 0.001 0.007 0.012 0.051 0.001 0.007 0.011 0.058 0 0.002 0.049 0.15 0.006 0.024 0.034 0.125 0.004 0.018 0.032 0.118 0.003 0.016 0.032 0.139 0.003 0.01 0.033 0.142 0.003 0.01 0.046 0.141 0.004 0.026 0.048 0.143 0.005 0.026 0.009 0.064 0 0.005 0.032 0.104 0.002 0.012 0.021 0.061 0.001 0.009 0.02 0.057 0.001 0.008 0.017 0.096 0.001 0.006 0.018 0.095 0.001 0.006 0.022 0.088 0.001 0.01 0.021 0.083 0.003 0.009
