mTDT2G_cv2_useDistances ScoreTDT mTDT
0.730452 0.761748 0.182323
0.406571 0.765166 0.138572
0.27615 0.700106 0.1062
0.209556 0.651627 0.0912843
0.169281 0.602571 0.0830635
0.141433 0.566854 0.0726751
0.121493 0.527104 0.0632888
0.122822 0.493404 0.0567929
0.0431296 0.448425 0.0352041
0.0418284 0.391507 0.0243082
0.0536574 0.408215 0.0261878
0.0608869 0.427198 0.0259532
0.0629764 0.476596 0.0254346
0.0701713 0.543331 0.035454
0.0727413 0.626305 0.0519632
0.0569207 0.716852 0.066044
0.0773122 0.789763 0.0895046
0.105217 0.875486 0.132983
0.105225 0.910085 0.144579
0.11833 0.939803 0.144661
0.129423 0.914812 0.140803
0.122059 0.873979 0.131047
0.131059 0.824433 0.120595
0.133998 0.766663 0.108125
0.102015 0.730445 0.0877952
0.0654297 0.681651 0.047345
0.0521003 0.624554 0.0332748
0.0305884 0.545917 0.0291349
0.0165143 0.490304 0.0276681
0.0164364 0.421788 0.0248322
0.00463502 0.358276 0.01791
0.00102502 0.320455 0.0152348
0.00100729 0.291113 0.0117144
0.000760729 0.282112 0.0108285
0.000367705 0.305522 0.0103568
0.00313201 0.374404 0.0236899
0.00491312 0.439832 0.0307694
0.0157741 0.51749 0.0388931
0.0178901 0.599313 0.0430097
0.0384039 0.655694 0.0517896
0.0468126 0.689867 0.058703
0.0468526 0.685938 0.0575373
0.0742611 0.667365 0.0648601
0.0785375 0.636212 0.0582777
0.126757 0.652663 0.0777614
0.172543 0.679849 0.0894145
0.184439 0.690798 0.0953682
0.183714 0.715314 0.0943835
0.232701 0.727292 0.0984914
0.249834 0.778932 0.126395
0.260771 0.82498 0.165256
0.274335 0.87012 0.198916
0.294818 0.875696 0.203089
0.28494 0.875957 0.236198
0.277713 0.861178 0.241916
0.305499 0.850773 0.263238
0.321866 0.853137 0.294272
0.347744 0.822012 0.279235
0.347514 0.790647 0.242247
0.358714 0.777212 0.223308
0.335376 0.778593 0.218309
0.307071 0.770583 0.192033
0.302613 0.770274 0.190452
0.260025 0.756183 0.170198
0.198915 0.752207 0.160469
0.207776 0.78728 0.198053
0.170132 0.768076 0.186502
0.138492 0.739029 0.165257
0.0973017 0.713936 0.141047
0.0798016 0.717229 0.122673
0.0820053 0.747772 0.117856
0.0900225 0.760839 0.116614
0.079726 0.75245 0.0956599
0.028845 0.736151 0.0500518
0.0288538 0.754638 0.0514715
0.0286563 0.742675 0.0521684
0.0225897 0.725637 0.0514161
0.0219429 0.698103 0.0450875
0.0206538 0.691098 0.053979
0.0173054 0.696135 0.0755098
0.0302122 0.717451 0.105811
0.0417206 0.736424 0.14278
0.068125 0.775908 0.203677
0.100718 0.833441 0.240425
0.123113 0.890948 0.289264
0.127296 0.932098 0.3075
0.157451 0.913838 0.32121
0.261233 0.925929 0.349918
0.253136 0.917606 0.33571
0.276371 0.908071 0.299768
0.31793 0.89564 0.243998
0.286858 0.887126 0.211125
0.265133 0.85478 0.16848
0.263102 0.826329 0.153579
0.230058 0.792593 0.125417
0.119182 0.749362 0.0769499
0.128015 0.734433 0.055627
0.101508 0.707661 0.054496
0.0122524 0.671094 0.0521021
0.01225 0.6173 0.0524821
0.0144999 0.579202 0.0502504
0.0117576 0.502908 0.0543214
0.0206974 0.564057 0.0779552
