mTDT2G_cv2_useDistances ScoreTDT mTDT
0.0130954 0.629403 0.661333
0.0130954 0.718911 0.744242
0.0794751 0.687323 0.720373
0.32122 0.319847 0.368054
0.333933 0.0642455 0.0858209
0.495006 0.169851 0.179471
0.434457 0.208736 0.213828
0.0299119 0.523245 0.519748
0.116385 0.629113 0.642357
0.345922 0.229866 0.238677
0.468436 0.434645 0.424108
0.435524 0.54164 0.605341
0.515624 0.581172 0.675227
0.381846 0.472381 0.477
0.251607 0.134237 0.174673
0.260235 0.38376 0.483028
0.257117 0.502213 0.545394
0.568259 0.292102 0.306252
0.510663 0.402686 0.430836
0.218953 0.792629 0.795168
0.191454 0.9714 0.949264
0.218953 0.689523 0.714159
0.246453 0.387033 0.457469
0.125465 0.184915 0.219421
0.168285 0.239029 0.232115
0.174465 0.375262 0.46273
0.0189405 0.603669 0.691186
0.0299094 0.718718 0.744256
0.0249416 0.570935 0.548453
0.00934939 0.636975 0.57498
0.0418185 0.645528 0.665759
0.141616 0.528338 0.612092
0.142687 0.452714 0.522581
0.510531 0.427793 0.409846
0.942873 0.350539 0.295808
0.521037 0.503953 0.451364
0.4854 0.632808 0.595059
0.539964 0.634228 0.620302
0.152651 0.611822 0.590384
0.0635847 0.499297 0.51966
0.0311122 0.568 0.65352
0.0292275 0.766229 0.836798
0.0212427 0.791433 0.851481
0.30113 0.677783 0.76764
0.443773 0.571919 0.673906
0.152004 0.617609 0.691843
0.00217716 0.580002 0.653424
0.00139913 0.654741 0.705312
0.00110621 0.863241 0.86051
0.00291028 0.811213 0.797837
0.00471436 0.735108 0.703823
0.014363 0.847463 0.829561
0.381847 0.761748 0.751257
0.405747 0.586528 0.557761
0.0390018 0.777315 0.761208
0.190654 0.923426 0.915745
0.207391 0.918312 0.915462
0.0396655 0.629471 0.670948
0.402955 0.374598 0.461152
0.833392 0.489837 0.574424
0.732916 0.590286 0.636328
0.541307 0.575491 0.560619
0.332768 0.532489 0.522363
0.439 0.47951 0.495629
0.769326 0.542073 0.536875
0.572154 0.426978 0.460889
0.383147 0.365745 0.383554
0.430852 0.534607 0.490848
0.430852 0.456248 0.467247
0.487348 0.326561 0.35944
0.427624 0.202902 0.202902
0.295081 0.220467 0.175513
0.410753 0.424292 0.38746
0.403542 0.703928 0.732402
0.221423 0.909182 0.922846
0.132206 0.949979 0.936172
0.0799708 0.844068 0.868347
0.53702 0.621536 0.689777
0.624603 0.615971 0.619461
0.414685 0.706539 0.699247
0.764167 0.84365 0.869713
0.658025 0.869266 0.889471
0.367879 0.85179 0.87518
0.33433 0.965836 0.974824
0.244828 0.948735 0.948262
0.214783 0.626779 0.655661
0.295061 0.224659 0.241
0.227001 0.0760543 0.0573227
0.261462 0.0432826 0.0336566
0.248874 0.329496 0.362786
0.0672086 0.668405 0.711408
0.0550232 0.777293 0.78648
0.166715 0.863216 0.880126
0.568922 0.744527 0.78677
0.907994 0.765775 0.7936
0.868969 0.942144 0.936881
0.80006 0.64041 0.695708
0.779774 0.394086 0.481043
0.642097 0.707006 0.74369
0.574953 0.888424 0.920336
0.598223 0.707873 0.683858
0.374928 0.326227 0.306589
0.202092 0.0729248 0.101955
0.253522 0.132672 0.159041
0.426021 0.289294 0.303331
0.372871 0.362604 0.300564
0.156 0.297063 0.210716
0.163861 0.328964 0.248411
0.236419 0.367879 0.287379
0.320629 0.392398 0.317001
0.32396 0.486756 0.366107
0.304893 0.358225 0.272722
0.448954 0.245789 0.229766
0.565332 0.486066 0.51735
0.690379 0.662345 0.665313
0.513703 0.420985 0.358438
0.259373 0.241904 0.226614
0.461431 0.433278 0.392872
0.716254 0.748422 0.699303
0.771692 0.951018 0.941377
0.695164 0.878136 0.8514
0.558368 0.75678 0.72104
0.397843 0.63877 0.633756
0.42979 0.540395 0.752897
0.576237 0.457406 0.738301
0.676279 0.600539 0.653131
0.662961 0.760704 0.773991
0.491467 0.862574 0.899377
0.391529 0.679431 0.66195
0.470047 0.391432 0.336076
0.501337 0.420173 0.344184
0.437323 0.378132 0.318149
0.448741 0.633891 0.62164
0.627432 0.649503 0.688654
0.776319 0.400007 0.474274
0.427919 0.686874 0.723609
0.0338907 0.932039 0.932896
0.40222 0.810704 0.78638
0.769585 0.538828 0.518766
0.447313 0.516078 0.581425
0.10589 0.665906 0.748304
0.10589 0.678935 0.739509
0.10589 0.699962 0.765593
0.160825 0.833474 0.861046
0.279047 0.549445 0.508336
0.292907 0.211695 0.120638
0.189952 0.193264 0.114667
0.145215 0.122559 0.0792029
0.53948 0.270254 0.214161
0.747807 0.364656 0.326503
0.598654 0.340581 0.288347
0.589604 0.294589 0.245546
0.516733 0.199821 0.192179
0.403177 0.28078 0.249292
0.488682 0.33545 0.31615
0.414412 0.313101 0.334001
0.315812 0.423135 0.40605
0.375885 0.474552 0.450697
0.376118 0.380034 0.365679
0.474241 0.242972 0.216792
0.603041 0.296156 0.308188
0.584209 0.334364 0.349985
0.280315 0.170809 0.151262
0.130982 0.156078 0.10148
0.142267 0.18237 0.117794
0.107446 0.141678 0.0935926
0.131805 0.144933 0.125646
0.331358 0.218911 0.23408
0.569174 0.31023 0.433909
0.665798 0.430296 0.520751
0.453979 0.375996 0.315107
0.249048 0.255586 0.170829
0.459128 0.330511 0.241837
0.385128 0.28626 0.20167
0.188834 0.148264 0.0947202
0.380761 0.46761 0.45118
0.305824 0.440372 0.426083
0.341894 0.0244585 0.00993971
0.521797 0.00233461 0.00186202
0.226059 0.00858226 0.00310664
0.00770877 0.011726 0.00649288
0.00825616 0.0179671 0.00645945
0.0399274 0.0195439 0.00464185
0.0820201 0.306692 0.33732
0.221734 0.580309 0.637894
0.351737 0.539913 0.683239
0.377079 0.550668 0.721862
0.633722 0.416962 0.480204
0.717124 0.224943 0.277044
0.569226 0.195814 0.276395
0.413802 0.326374 0.343753
0.202267 0.400389 0.352291
