mTDT2G_cv2_useDistances ScoreTDT mTDT
1.42549e-08 0 0
0.38267 0.31225 0.299493
0.781004 0.702888 0.659065
0.58292 0.545191 0.475396
0.200208 0.156757 0.116808
0.0188982 0.00725234 0.00685149
0.337909 0.481921 0.484969
0.733661 0.619972 0.660557
0.800348 0.457166 0.501663
0.614163 0.779736 0.743117
0.354024 0.802659 0.731536
0.520239 0.717984 0.678446
0.382604 0.561532 0.620451
0.00556076 0.196876 0.265978
0.00646006 0.0180079 0.01564
0.0861063 0.00960842 0.0155864
0.147542 0.0119907 0.0302556
0.149337 0.0416166 0.0461882
0.181085 0.148615 0.104779
0.48265 0.256421 0.264211
0.712246 0.25346 0.354608
0.38923 0.108088 0.163978
0.0857089 0.0167121 0.00637518
0.180259 0.248104 0.200521
0.27783 0.234644 0.201603
0.224066 0.0527578 0.0433006
0.227845 0.051828 0.125059
0.125056 0.00232729 0.089189
0.000118904 2.23927e-05 5.70538e-06
0.214213 0.0724623 0.0767356
0.426792 0.178603 0.183869
0.308478 0.174073 0.156114
0.117466 0.0925842 0.0696169
0.0356125 0.0608654 0.0359265
0.0278567 0.0390794 0.0167506
0.0139296 0.00288587 0.00146425
0.0472426 0.0531009 0.0193315
0.0788861 0.070531 0.031995
0.0831121 0.146378 0.0609155
0.105852 0.160192 0.0680818
0.09467 0.0701579 0.0763298
0.0407338 0.0402162 0.0568368
0.0360194 0.00564697 0.0126985
0.035881 0.00475211 0.0124649
0.000309939 0.000409765 0.000104707
0.00379495 0.00421046 0.00044748
0.00883892 0.00573259 0.00109254
0.00504406 0.00152265 0.000645155
3.28508e-07 1.3946e-06 1.1642e-06
1.93676e-06 1.02544e-06 1.1614e-06
0.00548888 8.29362e-06 2.06959e-05
0.00557936 0.00207988 0.000137288
0.000173293 0.00295652 0.000222108
0.000223136 0.00401384 0.000332576
0.000171701 0.00357547 0.000323787
7.94449e-05 0.00056253 0.000128358
7.16539e-05 0.000137337 4.00263e-05
4.80694e-05 2.96982e-05 1.8264e-05
0.00754537 0.00132437 0.00144884
0.0232961 0.0183987 0.00807404
0.0271691 0.0324156 0.012206
0.0162088 0.0229566 0.00694329
0.00511864 0.00771465 0.00144654
0.00105351 0.000867521 8.55683e-05
0.00104677 0.000779189 1.31887e-05
0.000295345 2.51577e-06 1.72294e-06
0.000869765 0.00144591 0.000432918
0.0108991 0.0014487 0.000434788
0.0101397 0.000171307 6.84887e-06
0.00514521 0.000468928 0.000113508
0.0084374 0.00422756 0.00102472
0.208683 0.243117 0.260593
0.397152 0.558099 0.54145
0.196447 0.319268 0.281873
0.0109299 0.0181053 0.00310602
0.0140068 0.0180413 0.00703152
0.0213434 0.000317684 0.00451533
0.0168341 0.0010248 0.00147071
0.00868274 0.0135539 0.0047968
0.0107059 0.0135653 0.00418618
0.00516562 0.00101368 0.00036998
0.00972789 0.0033148 0.00461848
0.0123711 0.0128363 0.00537911
0.00619348 0.00958591 0.000801703
0.00355126 6.45109e-05 4.10653e-05
2.98455e-06 4.74117e-06 4.38779e-08
1.97804e-06 4.6321e-06 3.72642e-08
0 2.00281e-08 0
7.38645e-10 7.47609e-08 0
4.33942e-08 7.56552e-08 6.15697e-08
0.0215277 0.0137926 0.00207324
0.513336 0.156763 0.0409554
0.728466 0.424572 0.276405
0.236657 0.281601 0.237523
0 0 0
0 0 0
0.179562 0.0191071 0.0374129
0.179566 0.0191134 0.037413
4.13788e-06 6.37061e-06 7.8174e-08
0.000336094 0.000103957 1.52981e-05
0.344981 0.399989 0.38204
0.380484 0.478509 0.416217
0.0358392 0.078624 0.0341923
5.27985e-08 2.33954e-07 0
1.72285e-07 2.47143e-07 0
1.68436e-07 5.33249e-07 0
6.82779e-08 8.2188e-07 0
1.93282e-08 3.0182e-07 0
0.0227231 0.000831384 0.00020151
0.0227231 0.000831384 0.00020151
0 0 0
5.63408e-08 4.36922e-08 0
5.90551e-06 0.000141108 2.53359e-07
7.88725e-05 0.00103424 3.59244e-05
0.000230294 0.000895219 3.5754e-05
0.197107 0.191559 0.251991
0.197159 0.191563 0.251991
0.000229333 1.25796e-05 4.3878e-07
0.000649309 1.48944e-05 2.81979e-06
0.00081433 0.000185596 2.58898e-05
0.000570158 0.000177933 2.3155e-05
0.000385034 6.80181e-07 4.33595e-08
6.26023e-09 0 0
0.0593361 0.0799021 0.028153
0.0611024 0.0896723 0.0294871
0.00650805 0.0103265 0.00212973
0.02947 0.00553462 0.00245428
0.0641739 0.0238366 0.00374935
0.0397576 0.0207188 0.00217677
0.00107256 0.00347278 0.000362661
0.000760566 0.00161233 0.000276534
0 1.00662e-07 0
0.0247627 0.0258092 0.0131296
0.0843439 0.0763588 0.0379244
0.0595812 0.0505497 0.0247949
0 1.04418e-08 0
0.000109617 0.00085345 0.000262963
0.000395733 0.00164048 0.000435982
0.000306685 0.00089062 0.000177638
0.386328 0.00662383 0.00535926
0.39936 0.0121687 0.00940827
0.0177877 0.0106001 0.00517483
0.00473544 0.0049519 0.00112121
7.84685e-06 6.82142e-06 1.09595e-06
0.175729 0.0989551 0.0989305
0.175721 0.0989489 0.0989294
7.17936e-08 1.02528e-06 4.70185e-09
0.0934987 0.00582242 0.00391481
0.0934987 0.00582177 0.00391481
0.000122386 0.00568725 0.000124262
0.000122378 0.00568722 0.000124262
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.00106173 0.0117319 0.00571531
0.00106173 0.0117319 0.00571531
3.76386e-05 0.000187681 1.79074e-06
0.00661592 0.00382459 0.00178056
0.475319 0.456028 0.400067
0.810426 0.678125 0.622549
0.698813 0.518797 0.521551
0.359247 0.294872 0.297607
0.00215485 0.00185421 0.00036004
3.59556e-05 4.5443e-05 4.28392e-05
0 0 0
0 0 0
0.333915 0.299344 0.29873
0.475195 0.55455 0.600632
0.60941 0.701326 0.749319
0.46813 0.446119 0.447417
0 0 0
8.3257e-05 9.56194e-06 1.27246e-07
0.031191 0.0703137 0.0403532
0.0311078 0.0703041 0.0403531
0 0 0
0.375596 0.12828 0.0662539
0.380654 0.236564 0.107321
0.0101898 0.130986 0.0522453
0.00520059 0.0231123 0.0111958
0.000924397 0.000792195 5.20074e-05
0.00860859 0.044392 0.0348246
0.39128 0.0855097 0.0550006
0.817607 0.124938 0.0542158
0.637294 0.102698 0.0465889
0.217839 0.0235826 0.01542
0.242717 0.0914385 0.273862
0.260887 0.134802 0.288793
0.079971 0.0610724 0.0193738
0.468091 0.24681 0.159329
0.420915 0.233424 0.157723
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.0896163 0.0299873 0.0166577
0.094158 0.032044 0.0198026
0.00454165 0.00205664 0.00314499
0 0 0
1.71159e-07 9.26061e-06 2.1031e-09
3.21199e-07 9.59654e-06 2.1031e-09
