mTDT2G_cv2_useDistances ScoreTDT mTDT
0.230503 0.378412 0.407302
0.350199 0.418643 0.456865
0.469896 0.458874 0.506429
0.678266 0.360643 0.442981
0.781539 0.262412 0.379533
0.772673 0.296008 0.382591
0.717071 0.434199 0.501221
0.443034 0.562611 0.620627
0.371352 0.595091 0.57524
0.33674 0.663379 0.570291
0.456794 0.403768 0.356271
0.526605 0.200498 0.222011
0.354734 0.257362 0.25649
0.335903 0.179243 0.167974
0.558296 0.264053 0.327343
0.713639 0.431239 0.531836
0.599189 0.733601 0.774277
0.426834 0.637084 0.620909
0.291171 0.272638 0.232192
0.531768 0.255707 0.2957
0.783333 0.208762 0.319729
0.494529 0.23589 0.336684
0.168845 0.240919 0.274445
0.111634 0.106653 0.065996
0.0671358 0.0556034 0.0365357
0.0255615 0.0577796 0.0577796
0.1123 0.0473314 0.0358324
0.599519 0.024719 0.0132201
0.543155 0.0284558 0.0437422
0.0863108 0.0443566 0.0749294
