mTDT2G_cv2_useDistances ScoreTDT mTDT
0.644867 0.445883 0.461606
0.516559 0.256365 0.460887
0.19446 0.0347966 0.230673
0.00704906 0.00680876 0.00238671
0.00978422 0.00686565 0.00293443
0.0163543 0.00474597 0.00248011
0.0137207 0.00910233 0.00749751
0.109916 0.0322957 0.118508
0.110179 0.0266563 0.11251
0.000928264 0.0049596 0.000349631
0.0162589 0.0146692 0.00182649
0.112625 0.264812 0.220829
0.120042 0.276289 0.226994
0.0234608 0.0232502 0.00781867
2.6356e-05 0.00236474 2.61599e-05
0.02141 0.0151061 0.00891295
0.0335529 0.0186986 0.00979579
0.0880373 0.0230942 0.00392271
0.174259 0.0198652 0.0108726
0.384317 0.0209233 0.0409305
0.286155 0.0201969 0.033092
0.00216089 0.00320768 2.57606e-05
0.00452031 0.0035943 2.8823e-05
0.00258697 0.000925393 4.28163e-06
0.000316528 0.0005408 1.35727e-06
0.000303192 8.71784e-05 4.83421e-07
0.000142109 9.928e-05 3.72671e-07
0.000230882 0.000170591 5.32292e-07
0.0282901 0.129101 0.0959752
0.0637716 0.302817 0.227477
0.257336 0.202669 0.152666
0.221818 0.0290084 0.0211691
0.000570642 0.00611577 0.000125577
0.000547606 0.0062868 0.00012294
0.000117116 0.000359865 3.23731e-06
9.36078e-05 6.20459e-05 1.09116e-06
9.86687e-06 3.26035e-06 5.57459e-08
3.66471e-05 3.63453e-05 7.23526e-07
4.58048e-05 5.00518e-05 8.93659e-07
2.85308e-05 4.97982e-05 4.71087e-06
6.59825e-05 0.000164783 2.22181e-05
0.000568001 0.000210976 2.29589e-05
0.325018 0.059916 0.222202
0.324863 0.059914 0.222201
0.000364488 7.74378e-05 4.09998e-06
2.92963e-06 1.93419e-07 0
0.000450982 0.000226912 8.43567e-05
0.000620909 0.000818537 0.000167545
0.00640884 0.0123101 0.00401678
0.0178787 0.0231693 0.00663549
0.0230727 0.0633582 0.0120259
0.0195783 0.0751784 0.0171035
0.0096968 0.0311098 0.00852619
0.0265891 0.0192241 0.0109927
0.226098 0.0128584 0.0145775
0.268957 0.00593718 0.00698704
0.0803978 0.00839417 0.00496449
0.0561341 0.0523026 0.014191
0.166051 0.11023 0.0294275
0.222201 0.081 0.0237448
0.511629 0.0254714 0.0186383
0.686347 0.23462 0.160286
0.647857 0.537968 0.469736
0.656584 0.749714 0.7236
0.332545 0.466384 0.417255
0.117521 0.0754729 0.0310454
0.244795 0.405353 0.195805
0.222341 0.356234 0.18061
0.110988 0.00211152 0.00435733
0.160236 0.00337817 0.0243003
0.12853 0.00128369 0.0210269
0.0805031 6.65661e-05 0.00810128
0.185526 0.0282385 0.0454121
0.298347 0.113355 0.112365
0.222619 0.145252 0.0997069
0.107196 0.137706 0.0546308
0.114651 0.146166 0.0728162
0.125888 0.124804 0.0759728
0.109237 0.131916 0.071681
0.111829 0.130922 0.0714798
0.112648 0.1199 0.0681889
0.252368 0.303543 0.229554
0.685798 0.333285 0.235688
0.975764 0.188742 0.0843358
