mTDT2G_cv2_useDistances ScoreTDT mTDT
0.470731 0.772934 0.786133
0.5813 0.799277 0.796101
0.596772 0.808898 0.7981
0.633841 0.667396 0.645699
0.610661 0.585345 0.563016
0.51555 0.555017 0.536664
0.447613 0.548517 0.530057
0.395901 0.543183 0.522305
0.431977 0.521118 0.483815
0.454955 0.488439 0.439483
0.485283 0.460621 0.41061
0.50955 0.493445 0.455342
0.553644 0.537446 0.491696
0.648943 0.553084 0.516981
0.755799 0.554315 0.524789
0.807193 0.589656 0.569271
0.790664 0.606529 0.601309
0.790562 0.613541 0.631693
0.776776 0.615975 0.64789
0.728998 0.618478 0.650045
0.726856 0.595314 0.639401
0.720047 0.581991 0.619029
0.686973 0.587997 0.617023
0.676702 0.545979 0.56183
0.648301 0.500334 0.503134
0.651965 0.497254 0.481132
0.56798 0.520376 0.493426
0.506577 0.562559 0.526914
0.412926 0.591766 0.533811
0.333646 0.639277 0.564975
0.264795 0.668785 0.586002
0.229551 0.722103 0.618195
0.267262 0.773087 0.65651
0.232331 0.797539 0.685047
0.297127 0.783693 0.68737
0.338184 0.780968 0.694448
0.447171 0.811258 0.74803
0.551187 0.822891 0.776186
0.630527 0.819751 0.801517
0.716374 0.807173 0.834993
0.667806 0.812631 0.880636
0.709276 0.813812 0.902481
0.745076 0.807639 0.882503
0.765803 0.756439 0.813179
0.693575 0.713134 0.742455
0.620953 0.644443 0.650979
0.605015 0.590338 0.560887
0.558504 0.514676 0.460925
0.57292 0.475213 0.4129
0.522541 0.458571 0.385593
0.448024 0.472817 0.400617
0.498716 0.543405 0.483078
0.460228 0.485132 0.445448
0.425941 0.452842 0.428947
0.363925 0.432254 0.415889
0.331633 0.445955 0.416803
0.295249 0.418529 0.36217
0.316635 0.381998 0.296153
0.370107 0.334057 0.223474
0.318017 0.275091 0.14079
0.357639 0.316451 0.157524
0.388483 0.335042 0.173455
0.42562 0.383022 0.223715
0.476108 0.438215 0.269037
0.529508 0.495957 0.337007
0.501998 0.533859 0.389277
0.508391 0.548352 0.45307
0.541045 0.555083 0.482699
0.585718 0.545998 0.495574
0.597191 0.544295 0.497106
0.579342 0.490142 0.450392
0.565721 0.40888 0.401646
0.528107 0.341366 0.335311
0.492418 0.297503 0.28696
0.422928 0.259393 0.209578
0.3309 0.206011 0.150618
0.248749 0.186489 0.131618
0.203938 0.18162 0.13142
0.237717 0.208125 0.130887
0.255206 0.2257 0.129
0.323733 0.225143 0.124318
0.383962 0.201259 0.104799
0.402453 0.19342 0.116273
0.435169 0.190588 0.126594
0.515625 0.201827 0.155631
0.578702 0.211533 0.170504
0.561687 0.193812 0.193473
0.608937 0.197699 0.225608
0.626227 0.205539 0.255659
0.660002 0.246423 0.314553
0.730021 0.299042 0.367542
0.730218 0.403914 0.467813
0.687123 0.445271 0.49202
0.666046 0.479175 0.515191
0.659044 0.528043 0.543845
0.594194 0.539838 0.530218
0.540861 0.557428 0.524978
0.4743 0.592422 0.541617
0.37467 0.625879 0.552589
0.35614 0.622805 0.539672
0.328928 0.661139 0.573533
0.309778 0.66122 0.573071
0.320803 0.65375 0.569838
0.278065 0.704252 0.658277
0.266708 0.693346 0.666238
0.319843 0.648535 0.630034
0.411441 0.601436 0.589084
0.475651 0.539741 0.535135
0.568797 0.48315 0.487914
0.570578 0.501348 0.510249
0.608725 0.531811 0.548258
0.681132 0.52759 0.524912
0.70518 0.56226 0.574985
0.654671 0.578375 0.58704
0.585814 0.573389 0.594011
0.544689 0.54391 0.567345
0.480304 0.506942 0.54449
0.495183 0.443157 0.494946
0.438386 0.372155 0.429232
0.410219 0.300215 0.358823
0.409512 0.24875 0.288212
0.425688 0.224762 0.275106
0.390806 0.290413 0.339705
0.368085 0.379517 0.428126
0.39375 0.412334 0.48358
0.40575 0.445151 0.539035
0.427854 0.491039 0.595513
0.443165 0.546135 0.663704
0.406327 0.609647 0.742687
0.40738 0.660537 0.796725
0.451668 0.630629 0.774884
0.48741 0.599289 0.759785
0.464789 0.629925 0.77234
0.468605 0.660571 0.781444
0.471039 0.673097 0.790023
0.438739 0.683478 0.792055
0.399133 0.703381 0.80137
0.330414 0.716191 0.81263
