mTDT2G_cv2_useDistances ScoreTDT mTDT
0.000483328 0.00172765 0.00125365
0.00669541 0.0116016 0.00619191
0.0174455 0.134307 0.0751767
0.0179566 0.115814 0.0776539
0.018422 0.126284 0.0805255
0.0180568 0.127602 0.0783721
0.00933759 0.0631722 0.0322462
0.00917608 0.0646074 0.0153795
0.0113019 0.0645019 0.0138435
0.0116675 0.0756104 0.0258221
0.0214903 0.0646442 0.0371973
0.0741187 0.214729 0.184396
0.0761222 0.266909 0.217004
0.208778 0.347773 0.289767
0.309019 0.417722 0.380021
0.493146 0.487711 0.457694
0.526643 0.61218 0.596956
0.393779 0.621841 0.589633
0.340672 0.609912 0.509323
0.125144 0.425765 0.287703
0.234205 0.326392 0.197815
0.24398 0.232854 0.171364
0.398101 0.231124 0.26618
0.559044 0.240791 0.435284
0.630467 0.173804 0.449573
0.711138 0.259638 0.512558
0.682463 0.212342 0.457692
0.63394 0.350244 0.455487
0.457852 0.446805 0.436539
0.60033 0.351291 0.355137
0.658235 0.332254 0.325088
0.629933 0.156334 0.222045
0.832907 0.219969 0.31634
0.83347 0.323265 0.40754
0.840982 0.442145 0.480094
0.741895 0.656748 0.636869
0.524494 0.618411 0.547129
0.400261 0.567687 0.517797
0.206968 0.460384 0.484377
0.414741 0.222085 0.294742
0.495084 0.0794144 0.248836
0.443332 0.198703 0.329364
0.421985 0.357774 0.411329
0.257863 0.599015 0.590359
0.17266 0.813896 0.735166
0.188104 0.823101 0.730643
0.364987 0.77081 0.655511
0.542679 0.542538 0.444611
0.654558 0.340388 0.266948
0.825356 0.175275 0.100551
0.849605 0.0529289 0.0193858
0.835294 0.0775404 0.0574242
0.859676 0.12431 0.097224
0.796692 0.142377 0.111174
0.720577 0.184085 0.125842
0.504833 0.1464 0.0810715
0.383975 0.0867406 0.0365277
0.254368 0.0480299 0.0180018
0.114835 0.00168203 0.00074497
0.15612 0.0770707 0.0610665
0.165161 0.0800008 0.0678723
0.23205 0.0817807 0.0792783
0.275205 0.0827888 0.0884551
0.348883 0.202722 0.156424
0.533122 0.268418 0.186198
0.61442 0.309512 0.214468
0.747373 0.337208 0.289788
0.800701 0.215762 0.239425
0.615999 0.218754 0.246207
0.532666 0.354458 0.331668
