mTDT2G_cv2_useDistances ScoreTDT mTDT
0.116651 0.447601 0.544181
0.126283 0.51681 0.603424
0.171083 0.509264 0.598425
0.20852 0.554565 0.62497
0.230982 0.581745 0.640897
0.245957 0.632525 0.680335
0.256653 0.668796 0.708504
0.264675 0.677752 0.714229
0.332556 0.683677 0.715177
0.379703 0.687298 0.710334
0.432539 0.710947 0.718059
0.473774 0.728284 0.721879
0.523756 0.754806 0.733123
0.565426 0.767513 0.742004
0.583127 0.783939 0.756494
0.648365 0.785543 0.758246
0.709719 0.768734 0.752675
0.755013 0.746661 0.74502
0.748335 0.733771 0.739649
0.750768 0.724418 0.739578
0.75792 0.728857 0.752806
0.789051 0.682906 0.712057
0.798477 0.650473 0.684948
0.816064 0.602559 0.639157
0.863688 0.548435 0.584797
0.815355 0.536833 0.570133
0.797337 0.539612 0.563744
0.750401 0.554952 0.558331
0.761642 0.584159 0.57471
0.773013 0.610923 0.590443
0.79067 0.592279 0.560362
0.789824 0.587323 0.55389
0.786924 0.58367 0.560483
0.786008 0.589683 0.576502
0.759389 0.602617 0.588907
0.788499 0.568256 0.557063
0.799318 0.552911 0.52931
0.854889 0.554551 0.519763
0.848071 0.526346 0.480299
0.828808 0.521633 0.481709
0.796651 0.556645 0.524787
0.791823 0.615603 0.579821
0.786284 0.658847 0.606102
0.784114 0.695544 0.621515
0.787115 0.72379 0.638776
0.791507 0.73332 0.64962
0.789354 0.722628 0.669237
0.784055 0.69426 0.666754
0.797573 0.680533 0.680344
0.811809 0.64334 0.654008
0.845011 0.601618 0.62305
0.862254 0.570828 0.607143
0.878197 0.538797 0.58919
0.827228 0.540487 0.594228
0.835934 0.564512 0.61766
0.838256 0.585967 0.614968
0.849825 0.624275 0.617647
0.862114 0.663197 0.638843
0.822187 0.676274 0.650387
0.788479 0.689352 0.661931
0.758748 0.701952 0.67361
0.742743 0.70003 0.678348
0.658711 0.677293 0.648185
0.638478 0.608311 0.59101
0.556255 0.516567 0.510336
0.471603 0.44472 0.460671
0.376385 0.361114 0.392363
0.283927 0.287418 0.324209
0.225317 0.229748 0.256645
0.170132 0.173317 0.189984
0.110569 0.114815 0.122762
0.0344515 0.0680144 0.0598774
0.026347 0.0524798 0.0363973
0.0330851 0.0822977 0.0463925
0.0382429 0.102862 0.0586664
0.0450167 0.13141 0.0682061
0.0515985 0.160101 0.0772031
0.0632138 0.181365 0.0842668
0.0705336 0.20554 0.0933152
0.0865328 0.226973 0.102914
0.101533 0.244607 0.109655
0.101173 0.253991 0.114483
0.11888 0.266824 0.136921
0.104053 0.24518 0.123675
0.10378 0.237236 0.117981
0.10429 0.220828 0.11288
0.0998515 0.208384 0.106664
0.0902732 0.202144 0.102367
0.085247 0.195904 0.0980698
0.0713672 0.193804 0.0936643
0.0577105 0.198052 0.0925436
0.05444 0.195672 0.0866388
0.0408974 0.196429 0.0743177
0.0390992 0.209148 0.0860182
0.0408649 0.221867 0.0977187
0.0571999 0.244463 0.120499
0.0811683 0.261491 0.138507
0.152006 0.274351 0.160036
0.214337 0.300527 0.207898
0.293693 0.321738 0.256298
0.381227 0.336738 0.285732
0.398956 0.354236 0.305199
0.442271 0.350004 0.314982
0.44624 0.334127 0.308076
0.48813 0.337752 0.318645
0.519422 0.332277 0.322597
0.555699 0.327526 0.336089
0.525952 0.325957 0.345986
0.50132 0.297128 0.307176
0.422246 0.259696 0.244253
0.263194 0.218015 0.202601
0.297291 0.182131 0.192715
0.111332 0.142728 0.14389
