mTDT2G_cv2_useDistances ScoreTDT mTDT
0.726842 0.6379 0.515437
0.752261 0.659272 0.496833
0.712797 0.582352 0.483771
0.726456 0.613043 0.54066
0.664491 0.596243 0.524552
0.645593 0.562441 0.497497
0.637042 0.521956 0.471641
0.654318 0.495936 0.495408
0.671912 0.524892 0.510669
0.650242 0.471629 0.468776
0.655751 0.489604 0.497275
0.632423 0.562132 0.580845
0.603324 0.601317 0.650468
0.526161 0.62638 0.65738
0.560825 0.637736 0.664995
0.582036 0.69073 0.674069
0.627314 0.701644 0.672612
0.57297 0.677324 0.641842
0.533963 0.701184 0.633809
0.604298 0.69849 0.628189
0.450608 0.712373 0.667407
0.324299 0.713583 0.717289
0.206164 0.714304 0.750462
0.267804 0.677511 0.709142
0.295844 0.586233 0.62696
0.251928 0.529732 0.564628
0.399898 0.429623 0.448282
0.550944 0.350591 0.33784
0.68071 0.306033 0.266306
0.650471 0.280343 0.238159
0.619927 0.288476 0.234369
0.557036 0.272748 0.207942
0.43899 0.284336 0.216402
0.342285 0.290655 0.219301
0.274291 0.316655 0.238446
0.293555 0.377901 0.307826
0.285938 0.374747 0.312393
0.280196 0.379762 0.336622
0.261608 0.372182 0.331616
0.215858 0.35614 0.317729
0.155353 0.278378 0.240834
0.127313 0.215266 0.169485
0.189083 0.243748 0.249043
0.271329 0.233987 0.273145
0.380688 0.341485 0.371626
0.488669 0.471451 0.514819
0.573441 0.592511 0.649659
0.638785 0.685602 0.750383
0.656946 0.720844 0.753539
0.671691 0.805411 0.819359
0.65766 0.757775 0.778594
0.591119 0.658437 0.680522
0.518411 0.58677 0.582409
0.427146 0.482597 0.461887
0.328414 0.42586 0.369251
0.214585 0.348537 0.258232
0.19486 0.307671 0.208776
0.210442 0.266983 0.179399
0.225042 0.20293 0.146828
0.24956 0.170354 0.131278
0.303175 0.131572 0.111517
0.334609 0.111778 0.114221
0.279471 0.0841945 0.0929518
0.247973 0.0827868 0.0732987
0.263754 0.099492 0.0921089
0.313768 0.115172 0.109743
0.35744 0.159816 0.162611
0.404574 0.179788 0.193285
0.4578 0.21848 0.251421
0.483184 0.241277 0.276861
0.50882 0.301363 0.316948
0.494843 0.363505 0.363598
0.47356 0.389121 0.370064
0.453259 0.420846 0.406131
0.444652 0.445176 0.435096
0.455914 0.469489 0.523265
0.477873 0.452245 0.556243
0.45053 0.416744 0.522136
0.489216 0.394304 0.552221
0.54793 0.419901 0.601125
0.607215 0.435922 0.612306
0.64457 0.466134 0.604896
0.669277 0.489813 0.603506
0.775991 0.540246 0.666895
0.692773 0.525854 0.591433
0.595862 0.463615 0.472575
0.482581 0.406885 0.393882
0.527407 0.356788 0.34832
0.439205 0.306361 0.303894
0.303875 0.234589 0.238886
0.301285 0.24481 0.290781
0.38542 0.307015 0.397237
0.490488 0.380122 0.495935
0.41868 0.478788 0.570261
0.524374 0.585224 0.641474
0.64449 0.698888 0.729715
0.708529 0.743724 0.734272
0.710097 0.737309 0.690806
0.694838 0.67676 0.612041
0.775651 0.558228 0.493469
0.798901 0.439438 0.385504
0.780839 0.333152 0.314003
0.822482 0.279093 0.289412
0.819571 0.247735 0.276041
0.86783 0.25169 0.292293
0.817684 0.342051 0.386519
0.774655 0.429276 0.464745
0.6725 0.537462 0.546787
0.60771 0.580808 0.568714
0.60777 0.609612 0.578771
0.532553 0.575831 0.541418
0.502814 0.515771 0.472776
0.502854 0.46068 0.446216
0.497596 0.398402 0.39071
0.47471 0.389887 0.390629
0.512254 0.322948 0.335808
0.513105 0.322246 0.334507
0.555732 0.30582 0.325851
0.580498 0.315467 0.335399
0.717213 0.28641 0.306452
0.797991 0.288854 0.308486
0.806855 0.336823 0.364453
0.84006 0.384674 0.41665
0.799164 0.404447 0.444746
0.765453 0.445663 0.479979
0.676059 0.485745 0.527494
0.642859 0.513222 0.53796
0.530283 0.500789 0.52238
0.555877 0.460385 0.491712
0.619179 0.495291 0.510989
0.56748 0.441501 0.469758
0.511711 0.475078 0.508698
0.456039 0.501284 0.556125
0.479023 0.588198 0.626045
0.422379 0.696486 0.726207
0.374546 0.671706 0.709359
0.436666 0.691915 0.714074
0.524916 0.634119 0.641315
0.566703 0.510465 0.528926
0.511722 0.37563 0.412647
0.52644 0.244583 0.277461
0.577598 0.205737 0.23202
0.529613 0.144651 0.166523
0.508947 0.096309 0.125762
0.482377 0.118992 0.140755
0.467969 0.122128 0.134571
0.362486 0.12859 0.127666
0.248944 0.118615 0.112756
0.271165 0.133605 0.132454
0.299091 0.235206 0.211385
0.244153 0.223891 0.190163
0.269838 0.255962 0.2193
0.319293 0.292497 0.246433
0.295869 0.303122 0.246296
0.229317 0.300709 0.220314
0.139528 0.200048 0.126592
0.139852 0.190281 0.111929
0.132155 0.1723 0.0815468
0.11097 0.138386 0.053132
0.245521 0.218519 0.155276
0.384757 0.304604 0.263606
0.518902 0.417736 0.395194
0.632078 0.526249 0.513599
0.766942 0.62 0.622864
0.798252 0.68653 0.706211
0.790192 0.650913 0.675231
0.767021 0.612366 0.64247
0.76656 0.555482 0.588262
0.745897 0.531316 0.573201
0.692238 0.523846 0.574751
0.742885 0.554453 0.616786
0.732816 0.594937 0.665278
0.644265 0.587272 0.668321
0.568873 0.555863 0.652641
0.537814 0.486232 0.599332
0.512822 0.402324 0.533341
0.45961 0.307197 0.428203
0.404564 0.231577 0.346252
0.404807 0.177736 0.273945
0.398975 0.150618 0.218092
0.324875 0.143845 0.176637
0.260896 0.135137 0.135038
0.298997 0.197027 0.199081
0.356522 0.235581 0.236083
0.448078 0.28414 0.292746
0.479574 0.352702 0.338639
0.607478 0.436583 0.392092
0.645303 0.526633 0.476452
0.686947 0.537454 0.460062
0.609164 0.582213 0.489236
0.552708 0.603066 0.494286
0.508525 0.572771 0.508456
0.51942 0.588377 0.557952
0.619376 0.626837 0.604981
0.587849 0.64219 0.631518
0.683989 0.638759 0.605452
0.756525 0.694802 0.644358
0.760807 0.778931 0.696008
0.699265 0.744309 0.625991
0.693418 0.712785 0.559576
0.708233 0.674833 0.520645
0.640933 0.621663 0.49689
0.575596 0.576489 0.472458
0.682992 0.526539 0.446353
0.757304 0.53875 0.498164
0.773372 0.539733 0.523388
0.796843 0.560216 0.540095
0.847881 0.615556 0.576773
0.821659 0.587448 0.535222
0.690981 0.539683 0.465311
0.687908 0.512839 0.431887
0.603199 0.4576 0.386676
0.578898 0.435191 0.37328
0.5605 0.383366 0.376342
0.505098 0.460346 0.48022
0.545402 0.514281 0.565337
0.528548 0.530708 0.604217
0.506615 0.618925 0.697988
0.531123 0.677477 0.767047
0.522919 0.664586 0.751978
0.633478 0.544937 0.656501
0.680862 0.49184 0.627309
0.625192 0.461412 0.613541
0.673111 0.404212 0.553989
0.660348 0.358183 0.528112
0.682512 0.353485 0.531753
0.712377 0.44275 0.627138
0.705595 0.565322 0.708226
0.707278 0.636999 0.755806
0.746735 0.670423 0.804995
0.752368 0.703052 0.829397
0.760579 0.777554 0.883362
0.713817 0.801093 0.86524
0.764168 0.791625 0.858219
0.795565 0.799862 0.877135
0.771418 0.816767 0.88685
0.728463 0.848467 0.906719
0.731758 0.8514 0.868346
0.67824 0.796049 0.790965
0.621688 0.738917 0.708417
0.536086 0.618274 0.556489
0.533397 0.525135 0.431738
0.538546 0.458375 0.323397
0.478749 0.386361 0.242653
0.432894 0.359929 0.224733
0.336281 0.320409 0.194861
0.324135 0.352706 0.209734
0.223069 0.35852 0.21707
0.127883 0.350368 0.218083
0.0497416 0.323486 0.201047
0.12853 0.307011 0.181418
0.235028 0.273214 0.154322
0.294895 0.24258 0.164445
0.347562 0.224238 0.197827
0.374693 0.188984 0.237937
0.522582 0.264851 0.330996
0.570825 0.335282 0.43079
0.582963 0.407638 0.510789
0.583058 0.445775 0.559678
0.656256 0.489444 0.590859
0.711627 0.541103 0.585045
0.702266 0.572494 0.605259
0.664822 0.565643 0.577228
0.589147 0.509608 0.545518
0.560911 0.475866 0.526597
0.436963 0.401999 0.439731
0.421667 0.351032 0.395877
0.418902 0.24664 0.303054
0.481507 0.171408 0.253152
0.484382 0.150647 0.223322
0.603545 0.167133 0.228964
0.667211 0.293674 0.35034
0.682095 0.380746 0.422526
0.672459 0.483873 0.510068
0.661922 0.597456 0.618563
0.69717 0.699154 0.72573
0.569789 0.768732 0.801839
0.566306 0.756118 0.800495
0.549929 0.751489 0.817704
0.489757 0.732819 0.822579
0.474464 0.731067 0.799912
0.526333 0.751011 0.793859
0.606066 0.774338 0.792027
0.670063 0.725034 0.744103
0.75323 0.638649 0.645005
0.833237 0.544134 0.535666
0.832682 0.449373 0.452082
0.797558 0.350487 0.358082
0.733295 0.322973 0.332838
0.635671 0.380204 0.388718
0.538257 0.502865 0.517319
0.4333 0.611916 0.636494
0.382073 0.651961 0.679611
