mTDT2G_cv2_useDistances ScoreTDT mTDT
0.43302 0.215019 0.142604
0.363628 0.145613 0.158483
0.54157 0.201869 0.207782
0.842736 0.272543 0.195875
0.501422 0.1152 0.0911315
0.142477 0.0326109 0.0496189
0.327501 0.095819 0.0919901
0.462302 0.409911 0.29083
0.643739 0.833042 0.715054
0.427422 0.51873 0.497726
0.0107835 0.0276376 0.0163275
0.00325558 0.00671775 0.00430873
0.000533967 0.00886072 0.00399509
0.00748042 0.0172187 0.00560951
0.00826581 0.0161375 0.00734439
0.08712 0.0766967 0.0391395
0.123128 0.0924973 0.0471558
0.391169 0.256028 0.18153
0.456644 0.248629 0.181603
0.274296 0.150904 0.103193
0.39036 0.499364 0.488148
0.437145 0.719184 0.79104
