mTDT2G_cv2_useDistances ScoreTDT mTDT
0.79943 0.37302 0.511657
0.850748 0.392756 0.53013
0.80997 0.506901 0.513398
0.794134 0.446774 0.415403
0.739287 0.45554 0.366129
0.699213 0.439174 0.339839
0.688003 0.43444 0.330226
0.665491 0.455209 0.341586
0.657368 0.475856 0.331228
0.554612 0.495839 0.328081
0.476662 0.4501 0.291968
0.416843 0.485227 0.317217
0.390412 0.473207 0.322782
0.369519 0.460617 0.328042
0.361788 0.447314 0.325639
0.369164 0.388822 0.299009
0.348483 0.331928 0.248061
0.369697 0.289915 0.189737
0.375261 0.245607 0.1659
0.390681 0.177373 0.125482
0.358516 0.128406 0.0988098
0.319747 0.0966495 0.0675171
0.249902 0.0596121 0.0359238
0.179047 0.0485449 0.011688
0.10801 0.0427501 0.0107463
0.0769206 0.0160514 0.00414547
0.0682772 0.0262461 0.00542853
0.0310679 0.0320709 0.0070389
0.0255597 0.0387505 0.00756059
0.0339611 0.0496088 0.00858652
0.0349269 0.0505194 0.00951031
0.0477552 0.067956 0.0255303
0.130886 0.0873307 0.0442577
0.135304 0.093277 0.0554781
0.183169 0.101936 0.086671
0.281124 0.117899 0.119595
0.373628 0.126836 0.149104
0.435142 0.129032 0.171149
0.451204 0.135296 0.17939
0.530868 0.142877 0.187853
0.504386 0.158575 0.217351
0.527114 0.164704 0.229468
0.532656 0.1572 0.209162
0.527393 0.145276 0.190584
0.51421 0.140593 0.182041
0.530164 0.127925 0.161866
0.587394 0.12303 0.1581
0.536639 0.116792 0.155531
0.493712 0.0864629 0.108623
0.472567 0.0764419 0.0883793
0.444891 0.0751806 0.0849744
0.424041 0.132614 0.117308
0.403492 0.171923 0.115122
0.361961 0.221815 0.135145
0.308811 0.283172 0.141267
0.389244 0.317786 0.132083
0.404506 0.36331 0.166401
0.494958 0.411958 0.187075
0.531936 0.457089 0.216113
0.453293 0.397475 0.169201
0.405883 0.347224 0.149975
0.359489 0.297229 0.127138
0.354149 0.234465 0.115807
0.24399 0.177292 0.102173
0.225237 0.123071 0.0657133
0.143755 0.0716641 0.0448509
0.0771367 0.0147312 0.00721367
0.0723837 0.00799702 0.00663079
0.060566 0.0100949 0.00753535
0.0772913 0.0111453 0.00937248
0.0786849 0.0126514 0.0113778
0.111773 0.0190622 0.0148874
0.169781 0.0853627 0.0649065
0.263067 0.122388 0.0846403
0.311121 0.184846 0.112655
0.432566 0.23153 0.135548
0.505427 0.303021 0.190449
0.610324 0.315363 0.199077
0.692067 0.360049 0.222377
0.762728 0.384767 0.24028
0.729756 0.341156 0.202338
0.628496 0.336692 0.189544
0.61246 0.317565 0.187676
0.513746 0.333987 0.20627
0.448452 0.337917 0.232591
0.360628 0.367358 0.273277
0.330488 0.394496 0.316247
0.26435 0.395042 0.333793
0.240477 0.396806 0.336879
0.233748 0.370515 0.330201
0.208508 0.340517 0.315421
0.211676 0.303793 0.293209
0.22548 0.261831 0.235471
0.276081 0.25426 0.209713
0.264561 0.225997 0.185393
