mTDT2G_cv2_useDistances ScoreTDT mTDT
0.15259 0.610657 0.697019
0.257117 0.502213 0.545394
0.568259 0.292102 0.306252
0.510663 0.402686 0.430836
0.218953 0.792629 0.795168
0.191454 0.9714 0.949264
0.218953 0.689523 0.714159
0.246453 0.387033 0.457469
0.125465 0.184915 0.219421
0.168285 0.239029 0.232115
0.174465 0.375262 0.46273
0.0148339 0.603669 0.691186
0.0258028 0.718718 0.744256
0.0239822 0.570935 0.548453
0.00838998 0.636975 0.57498
0.0418185 0.645528 0.665759
0.141616 0.528338 0.612092
0.109103 0.452714 0.522581
0.476947 0.427793 0.409846
0.942873 0.350539 0.295808
0.521037 0.503953 0.451364
0.0992011 0.659582 0.599829
