mTDT2G_cv2_useDistances ScoreTDT mTDT
0.738475 0.290683 0.467243
0.518472 0.283341 0.414058
0.445137 0.280894 0.396329
0.484114 0.265592 0.365871
0.499124 0.295128 0.365262
0.565158 0.330006 0.4077
0.67516 0.417216 0.48379
0.72345 0.504239 0.593826
0.713188 0.53868 0.646662
0.768254 0.553134 0.657481
0.805422 0.499269 0.61483
0.817144 0.454031 0.551504
0.823504 0.366922 0.448653
0.808417 0.288623 0.365434
0.767262 0.226311 0.302032
0.742194 0.188814 0.230118
0.731673 0.198485 0.207349
0.736246 0.217663 0.190513
0.732147 0.243764 0.222627
0.723475 0.264886 0.306272
0.714803 0.286007 0.389918
0.645467 0.340721 0.494108
0.618892 0.355599 0.501033
0.58164 0.372765 0.54601
0.528468 0.44612 0.61897
0.518396 0.434223 0.62359
0.46781 0.530685 0.705914
0.502128 0.510351 0.637917
0.438396 0.433669 0.511826
0.479391 0.423637 0.450921
0.525119 0.338161 0.360627
0.416752 0.374426 0.384235
0.425084 0.435699 0.442612
0.339906 0.486505 0.496166
0.422125 0.553761 0.549795
0.407365 0.558084 0.552803
0.492966 0.537556 0.551156
0.572533 0.493463 0.506936
0.457575 0.503482 0.494364
0.488734 0.485245 0.503355
0.403154 0.41576 0.47135
0.393422 0.450345 0.539659
0.413441 0.401372 0.562364
0.493785 0.433432 0.600202
0.605922 0.420797 0.546129
0.658393 0.375295 0.458557
0.732402 0.291689 0.337587
0.725936 0.263063 0.259919
0.593862 0.348614 0.331391
0.416181 0.286154 0.277731
0.275834 0.338422 0.338795
0.26179 0.298012 0.315216
0.346438 0.24589 0.270103
0.502804 0.246387 0.274641
0.610548 0.187867 0.212294
0.5958 0.147646 0.17061
0.623404 0.126132 0.156114
0.621095 0.14785 0.180287
0.602985 0.184794 0.197419
0.599752 0.265407 0.271295
0.556381 0.290134 0.310995
0.640204 0.325145 0.343862
0.705415 0.340919 0.384223
0.786612 0.316821 0.358845
0.885134 0.300296 0.330686
0.856462 0.273488 0.30936
0.679748 0.257868 0.268398
0.523422 0.2082 0.214506
0.356333 0.181618 0.175684
0.189244 0.155036 0.136862
0.193427 0.167689 0.133375
0.193427 0.255893 0.170755
0.352159 0.329921 0.232837
0.493503 0.403948 0.294919
0.661866 0.396537 0.332724
0.858559 0.329328 0.331243
0.88296 0.284813 0.316056
0.88296 0.25751 0.314907
0.84969 0.306946 0.360459
0.788089 0.378773 0.4248
0.591447 0.459968 0.486162
0.535661 0.512103 0.528083
0.436594 0.523724 0.533659
0.139391 0.559495 0.549691
