mTDT2G_cv2_useDistances ScoreTDT mTDT
0.85974 0.776257 0.707181
0.460531 0.66123 0.522245
0.328036 0.597805 0.436681
0.251852 0.525443 0.371635
0.287303 0.491792 0.349399
0.256939 0.426114 0.299186
0.23464 0.343146 0.22942
0.335987 0.296577 0.220906
0.382687 0.251989 0.205608
0.534574 0.245751 0.198539
0.470471 0.214868 0.171762
0.547989 0.247454 0.204617
0.586121 0.332766 0.265933
0.569464 0.345961 0.261874
0.62602 0.381595 0.283902
0.523152 0.418483 0.333842
0.762483 0.541779 0.450865
0.95474 0.790317 0.656477
